ax,ay,az
0.955426,1.654427,0.696149
0.955426,1.654427,0.696149
0.955426,1.654427,0.696149
0.955426,1.654427,0.696149
0.955426,1.654427,0.696149
0.956052,1.652041,0.694710
1.015553,1.425265,0.557744
1.075087,1.198490,0.420777
1.134588,0.971714,0.283811
1.194089,0.744939,0.146845
1.253623,0.518164,0.009879
1.032280,0.453215,0.263210
0.786571,0.402372,0.550412
0.540829,0.351529,0.837614
0.295120,0.300651,1.124816
0.049411,0.249808,1.412017
0.123071,0.025384,1.031840
0.269502,-0.238585,0.499584
0.415933,-0.502519,-0.032628
0.562364,-0.766488,-0.564885
0.708795,-1.030457,-1.097142
0.671389,-1.083054,-1.169965
0.558841,-1.049264,-1.055130
0.446292,-1.015510,-0.940249
0.333744,-0.981720,-0.825413
0.221196,-0.947965,-0.710532
0.099692,-0.993755,-0.689661
-0.027312,-1.088598,-0.726635
-0.154348,-1.183407,-0.763655
-0.281352,-1.278215,-0.800629
-0.408388,-1.373059,-0.837648
-0.487218,-1.393586,-0.867425
-0.520113,-1.343409,-0.890320
-0.553041,-1.293198,-0.913260
-0.585936,-1.243022,-0.936201
-0.618864,-1.192811,-0.959096
-0.656830,-1.124213,-0.984195
-0.702107,-1.029089,-1.012488
-0.747416,-0.933929,-1.040781
-0.792692,-0.838805,-1.069074
-0.838001,-0.743646,-1.097322
-0.928750,-0.641925,-1.186023
-1.116144,-0.526239,-1.403235
-1.303570,-0.410553,-1.620402
-1.490964,-0.294867,-1.837569
-1.678391,-0.179146,-2.054736
-1.807040,-0.040828,-2.176589
-1.732854,0.175702,-1.969498
-1.658667,0.392197,-1.762451
-1.584513,0.608726,-1.555360
-1.510326,0.825256,-1.348314
-1.458629,1.044137,-1.130922
-1.572066,1.280421,-0.837693
-1.685503,1.516705,-0.544509
-1.798973,1.752990,-0.251279
-1.912410,1.989274,0.041950
-2.022423,2.221629,0.330231
-1.837038,2.114574,0.192096
-1.651653,2.007520,0.053960
-1.466268,1.900431,-0.084176
-1.280883,1.793376,-0.222312
-1.095498,1.686322,-0.360448
-0.875506,1.401090,-0.356759
-0.652945,1.102734,-0.342680
-0.430384,0.804414,-0.328556
-0.207856,0.506093,-0.314477
0.014704,0.207738,-0.300353
0.155406,0.084894,-0.177331
0.278952,-0.001283,-0.031504
0.402531,-0.087460,0.114324
0.526110,-0.173637,0.260151
0.649689,-0.259814,0.405979
0.690223,-0.287533,0.493016
0.701189,-0.294411,0.559183
0.712154,-0.301288,0.625305
0.723152,-0.308165,0.691471
0.734117,-0.315042,0.757593
0.827402,-0.396974,0.919838
0.967576,-0.521677,1.136780
1.107718,-0.646346,1.353677
1.247893,-0.771050,1.570619
1.388035,-0.895753,1.787561
1.455274,-0.923052,1.887149
1.453957,-0.858911,1.876533
1.452673,-0.794734,1.865918
1.451388,-0.730593,1.855347
1.450071,-0.666416,1.844732
1.359157,-0.588731,1.726073
1.149208,-0.493045,1.463970
0.939258,-0.397360,1.201868
0.729309,-0.301639,0.939810
0.519327,-0.205953,0.677707
0.351986,-0.180233,0.505071
0.270127,-0.294902,0.512133
0.188301,-0.409570,0.519150
0.106475,-0.524239,0.526212
0.024616,-0.638907,0.533229
-0.057178,-0.713926,0.540111
-0.138740,-0.650451,0.546274
-0.220336,-0.586977,0.552481
