ax,ay,az
0.381214,-0.087257,0.706133
0.373036,-0.007205,0.691197
0.307613,-0.067244,0.642655
0.323969,-0.027218,0.706133
0.176766,-0.115847,0.620252
0.319880,-0.061526,0.721069
0.413927,0.032821,0.821887
0.278990,0.112873,0.575445
0.217656,0.107155,0.403681
0.332147,0.052834,0.582912
0.360770,0.004231,0.665060
0.344413,0.064270,0.635188
0.413927,0.067129,0.724803
0.323969,0.047116,0.590380
0.409837,0.038539,0.702400
0.377126,0.090001,0.650124
0.246279,-0.001487,0.560508
0.413927,-0.058667,0.721069
0.360770,-0.233066,0.698666
0.172677,-0.647621,0.758409
0.413927,-0.621890,-0.059333
0.875979,-0.862046,0.915236
1.342123,-1.079330,1.184083
1.485236,-1.022150,1.165414
1.342123,-0.793430,1.072064
1.092696,-0.553275,0.758409
0.765578,-0.458928,0.388745
0.802379,-0.441773,0.314065
1.530215,-0.613313,1.344645
1.481146,-0.430337,1.408123
1.342123,0.064270,0.956310
1.415723,0.170054,1.060862
0.863713,0.244388,0.762143
0.520239,0.155759,0.474626
0.291258,-0.092975,0.526902
0.168587,0.141464,0.418617
0.426193,-0.007205,0.833088
0.332147,-0.121565,0.960045
-0.162618,0.061411,0.519434
0.017296,0.364466,0.836823
0.315791,0.313004,1.456664
0.732866,0.887663,1.747915
0.777845,1.296500,1.419324
1.501593,1.602414,1.691904
1.448435,1.705338,1.871136
1.342123,2.019827,1.430526
0.851446,1.991237,0.635188
0.908692,2.385780,0.015346
1.023182,2.257125,0.306597
1.113140,2.214240,0.239386
1.129496,2.308587,0.007879
0.687887,2.085584,-0.160150
0.340325,1.648158,-0.358052
0.602019,1.210730,0.048953
0.736956,0.933407,0.541838
0.700155,0.796174,0.881631
0.683799,0.453095,0.840557
0.344413,0.258683,0.355139
0.646998,0.484544,0.101228
0.471172,0.227234,0.422350
0.262635,0.330158,0.026548
0.250367,0.347312,0.078824
0.144055,0.350171,-0.391657
0.205388,0.398774,-0.063067
-0.039949,0.441659,-0.544751
-0.215775,0.819046,-0.638100
-0.109461,0.867650,-0.720247
-0.268932,0.773302,-0.309509
-0.383423,0.576032,-0.339382
-1.074458,0.061411,-0.555952
-1.131704,-0.639044,-0.735184
-1.017213,-0.964970,-0.914415
-1.401576,0.301568,-1.859113
-1.139882,1.402283,-2.206373
-1.323886,0.190067,-1.836708
-0.645117,-0.273092,-1.186996
-0.518358,0.290132,-1.063775
-1.413843,-0.701942,-1.216868
-0.964056,-0.376016,-1.127252
-0.910899,-0.241643,-1.190730
-0.931345,-0.764840,-1.015232
-1.434288,-1.027868,-1.108582
-0.882276,-0.887777,-1.149656
-1.573313,-1.759774,-1.074977
-1.303441,-1.631118,-1.112316
-1.499712,-1.525335,-1.433439
-1.164416,-2.017083,-0.944287
-1.761405,-2.280111,-1.209399
-1.708248,-2.222931,-1.198198
-1.736871,-1.928454,-1.194463
-1.646915,-1.671144,-1.313951
-2.783648,-1.502463,-2.213841
-3.024897,-1.382385,-2.202639
-2.121234,-1.202268,-1.713487
-1.029479,-0.856328,-0.847204
-0.788230,-0.867764,-0.776258
-1.364775,-0.558993,-1.299015
-1.188949,0.198644,-1.291547
0.160411,-0.358862,-1.463310
0.225834,-0.198758,-1.157124
