ax,ay,az
0.188965,-0.205795,0.000000
0.195154,-0.111242,0.000000
0.154923,-0.038679,0.000000
0.263239,-0.027684,0.000000
0.337513,-0.104646,0.000000
0.099217,-0.073861,0.000000
0.120881,-0.025485,0.000000
0.461302,-0.183806,0.000000
0.414881,-0.164016,0.000000
0.337513,-0.155220,0.000000
0.247765,-0.139828,0.000000
0.272523,-0.157419,0.000000
0.334418,-0.069463,0.000000
0.380839,-0.190403,0.000000
0.340607,-0.135430,0.000000
0.517008,0.135034,0.000000
0.213723,0.354924,0.000000
0.161112,0.172416,0.000000
0.219912,0.242781,0.000000
0.176586,0.372516,0.000000
0.065175,0.315344,0.000000
0.226102,0.326339,0.000000
0.123975,0.286759,0.000000
0.065175,0.354924,0.000000
-0.114320,0.513245,0.000000
-0.083372,0.508848,0.000000
-0.303099,0.566019,0.000000
-0.810637,0.812296,0.000000
-0.866342,1.029987,0.000000
-0.516636,0.975014,0.000000
-0.349520,0.849677,0.000000
-0.974658,1.139932,0.000000
-2.029966,1.432386,0.000000
-2.559167,1.700651,0.000000
-2.376577,1.773215,0.000000
-2.240408,1.170717,0.000000
-2.469419,0.014095,0.000000
-1.132490,-0.821487,0.000000
-0.727079,-1.030383,0.000000
-0.188594,-2.002297,0.000000
0.436544,-2.972012,0.000000
-0.154551,-1.624086,0.000000
0.424165,-2.358518,0.000000
0.458208,-1.982507,0.000000
1.680631,-1.991302,0.000000
1.606357,-2.285955,0.000000
0.526292,-1.793401,0.000000
-0.686847,-0.634581,0.000000
1.024546,-0.335530,0.000000
1.665157,0.150427,0.000000
1.002882,0.440682,0.000000
0.882187,0.486859,0.000000
1.488757,0.766119,0.000000
3.296087,1.984310,0.000000
2.383138,2.059072,0.000000
1.015261,2.250377,0.000000
1.151430,2.294355,0.000000
3.085644,2.294355,0.000000
1.853937,1.628088,0.000000
1.225704,1.397203,0.000000
0.473681,0.915644,0.000000
0.563429,0.673765,0.000000
0.089933,0.860672,0.000000
0.058986,0.717743,0.000000
-0.207162,0.623190,0.000000
-0.488784,0.440682,0.000000
-0.287625,0.266968,0.000000
-1.376975,0.766119,0.000000
-1.113922,0.825489,0.000000
-0.547584,0.539632,0.000000
-1.070595,-0.214591,0.000000
-1.562659,-0.293751,0.000000
-1.513144,0.170217,0.000000
-1.506954,0.104250,0.000000
-1.030364,-0.489453,0.000000
-0.915858,-0.504846,0.000000
-0.748742,-0.720338,0.000000
-0.999416,-0.441077,0.000000
-1.036553,-0.546625,0.000000
-0.408320,-0.799498,0.000000
-0.460931,-0.975410,0.000000
-0.281436,-0.867664,0.000000
-0.154551,-0.803896,0.000000
-0.154551,-0.627984,0.000000
-0.170025,-0.502647,0.000000
-0.055520,-0.621387,0.000000
0.024944,-0.718139,0.000000
0.201344,-0.773111,0.000000
0.068270,-0.700548,0.000000
0.164207,-0.526835,0.000000
0.148733,-0.476260,0.000000
0.164207,-0.408094,0.000000
0.263239,-0.579608,0.000000
0.445829,-0.645575,0.000000
0.176586,-0.447674,0.000000
0.123975,-0.315740,0.000000
0.185870,-0.377309,0.000000
0.182776,-0.540028,0.000000
0.170397,-0.619188,0.000000
0.043512,-0.551022,0.000000
