ax,ay,az
0.040845,0.307253,-0.105703
-0.058165,0.302607,0.097821
-0.175681,0.284582,0.599601
-0.471081,0.211097,0.855033
-0.807101,0.145687,0.735806
-0.763959,0.360306,0.564401
-0.346271,0.809175,0.174115
0.069283,1.144276,-0.074937
0.277313,1.174341,-0.337614
0.488058,1.035908,-0.281705
0.838317,0.937684,-0.284462
1.022175,0.570012,-0.657716
1.307139,0.264758,-0.759910
1.747329,0.150868,-0.434240
2.132622,0.074950,-0.158368
2.386044,0.039849,0.081599
2.416422,-0.167716,0.572295
1.991517,-0.672532,1.091541
1.175074,-1.471437,1.137014
0.567747,-2.279902,0.909321
0.519600,-2.154458,1.007081
0.610152,-1.409214,0.990860
0.736358,-1.054629,0.882069
0.655699,-1.239353,0.789877
0.154869,-1.814809,0.468316
-0.173586,-2.181702,0.224509
-0.264759,-1.996589,-0.088454
-0.178746,-1.422058,-0.393416
-0.107127,-1.153923,-0.575744
-0.113606,-1.363386,-0.591803
-0.351547,-1.715028,-0.672910
-0.715347,-2.020136,-0.920393
-0.899671,-2.083429,-1.118294
-0.955267,-1.771802,-1.121754
-0.990611,-1.360807,-1.021074
-1.050125,-1.144656,-0.769048
-1.357785,-1.307171,-0.564064
-1.767675,-1.619649,-0.464519
-1.782496,-1.465988,-0.415098
-1.579743,-0.858180,-0.453110
-1.427232,-0.185133,-0.256237
-1.492178,-0.001066,0.129182
-1.480151,-0.095203,0.540772
-0.972105,0.353203,0.619013
-0.809002,0.858409,0.138212
-1.227117,0.754200,-0.274838
-1.177147,0.817591,-0.117383
-0.847761,1.426324,-0.554548
-0.987973,1.754832,-1.723999
-1.656095,1.179814,-2.126559
-2.012911,0.659041,-1.865449
-1.623739,1.055514,-1.576601
-1.222112,1.647413,-1.719890
-1.256060,1.437781,-2.290827
-1.461528,0.697864,-1.986893
-1.312432,0.511997,-1.049299
-0.826577,1.146222,-1.276019
-0.032598,1.790541,-2.137049
0.673158,1.779449,-2.509491
0.903806,1.327321,-1.608341
0.851546,1.127370,-0.455598
0.974610,1.200977,-0.705839
1.400562,1.059114,-1.610936
1.918308,0.727492,-0.762614
1.917338,0.413043,1.051203
1.586128,0.200418,2.153606
1.419961,0.235543,2.497986
0.891391,-0.197782,1.981876
0.953776,-0.590898,2.043680
1.275558,-0.700701,2.164475
1.110167,-0.695641,1.781326
0.872303,-0.406441,1.368872
0.719094,-0.156502,0.966528
0.419620,-0.216244,0.598736
0.226217,-0.297028,0.400133
0.218341,-0.213788,0.419166
0.230097,-0.033564,0.551964
0.241813,0.113700,0.629665
0.151339,0.110197,0.580784
0.014773,0.036054,0.496487
-0.044547,0.032916,0.467451
0.007169,0.153738,0.520441
0.082823,0.404894,0.487566
-0.008000,0.478696,0.285826
-0.117835,0.387234,0.254681
-0.157524,0.310732,0.356281
-0.191743,0.251622,0.333841
-0.102820,0.359625,0.385155
0.036927,0.575266,0.487998
0.030486,0.620948,0.397213
-0.093819,0.504140,0.251437
-0.172034,0.407959,0.201313
-0.130870,0.385093,0.219697
-0.108756,0.343206,0.193202
-0.085905,0.372444,0.196825
-0.073179,0.429267,0.228403
-0.112054,0.405988,0.221968
-0.077912,0.324329,0.268415
-0.059212,0.254736,0.357092
0.007402,0.280934,0.463017
