ax,ay,az
0.874917,0.210118,-0.831002
0.343448,0.167270,-0.613806
-0.181278,0.115550,-0.384762
-0.184589,0.076711,-0.345704
-0.168395,0.048716,-0.332684
-0.147745,0.032352,-0.324005
-0.135343,0.028409,-0.286944
-0.150695,0.033732,-0.211170
-0.169719,0.061136,-0.164535
-0.198978,0.107139,-0.141527
-0.254545,0.141509,-0.082216
-0.299998,0.159647,-0.041574
-0.288679,0.170425,-0.107980
-0.256531,0.158333,-0.191262
-0.204998,0.127511,-0.267381
-0.130949,0.093864,-0.346048
-0.087482,0.052790,-0.383040
-0.070806,0.016054,-0.383315
-0.057802,-0.004910,-0.394543
-0.072432,-0.003004,-0.385244
-0.115838,0.046416,-0.396197
-0.162495,0.132571,-0.435462
-0.213547,0.238442,-0.478791
-0.271702,0.352593,-0.545334
-0.311436,0.441904,-0.614771
-0.323115,0.489154,-0.682898
-0.295242,0.505058,-0.764390
-0.285429,0.470031,-0.769970
-0.298974,0.374215,-0.652382
-0.287837,0.279450,-0.524944
-0.317155,0.237916,-0.380973
-0.463929,0.305408,-0.182376
-0.724486,0.514390,0.041020
-0.918399,0.801247,0.301407
-0.897449,1.110974,0.446412
-0.688305,1.415771,0.291695
-0.318901,1.564293,0.006233
0.243572,1.506593,-0.368711
0.862937,1.326658,-0.856283
1.332698,1.029287,-1.257404
1.687292,0.601729,-1.320710
2.016480,0.135266,-1.141401
2.314182,-0.376937,-0.596378
2.460173,-0.933367,0.103430
2.527841,-1.457990,0.713412
2.536811,-1.953040,1.262981
2.344584,-2.372843,1.828049
1.770793,-2.637750,2.308389
0.823745,-2.687959,2.704343
-0.188322,-2.492383,3.080802
-1.045126,-2.041758,3.183855
-1.844858,-1.392601,3.072605
-2.443031,-0.668919,2.801403
-2.542305,0.014411,2.441475
-2.382588,0.551192,1.985453
-2.274825,0.994259,1.559258
-2.097528,1.263307,1.430511
-1.779538,1.444556,1.258228
-1.370882,1.608192,1.037794
-1.015265,1.758817,0.853663
-0.667053,1.840438,0.820047
-0.269716,1.899649,0.484092
0.131956,1.934611,0.069883
0.391851,1.888477,-0.273580
0.576673,1.758751,-0.562624
0.739281,1.529791,-0.840646
0.884489,1.231039,-1.082366
1.030059,0.859604,-1.240940
1.181589,0.463853,-1.379056
1.259973,0.054367,-1.334487
1.248475,-0.337835,-1.089737
1.152752,-0.699412,-0.726985
1.009289,-1.003159,-0.343155
0.787021,-1.223312,0.021181
0.508945,-1.323466,0.259869
0.265185,-1.336084,0.376699
0.097821,-1.225481,0.318973
-0.043053,-1.017945,0.135255
-0.145758,-0.769862,-0.085385
-0.218965,-0.524078,-0.312845
-0.295723,-0.327583,-0.508342
-0.370976,-0.214023,-0.547332
-0.394034,-0.181558,-0.537688
-0.389579,-0.212840,-0.506138
-0.350327,-0.309182,-0.372225
-0.281034,-0.407298,-0.273649
-0.170502,-0.499303,-0.246991
-0.120413,-0.548525,-0.224121
-0.077248,-0.530190,-0.300377
-0.030470,-0.458229,-0.516195
-0.007052,-0.413936,-0.637365
-0.067435,-0.370365,-0.669397
-0.128781,-0.356564,-0.649213
-0.216677,-0.402369,-0.471006
-0.300660,-0.492731,-0.184098
-0.354963,-0.555885,-0.003205
-0.351952,-0.599456,0.016772
-0.324199,-0.645458,-0.022837
0.268556,-0.477024,-0.366369
0.842649,-0.289335,-0.718719
