ax,ay,az
-0.093169,-0.619305,-0.247738
-0.173372,-0.633129,-0.387596
-0.180056,-0.667689,-0.444810
-0.186739,-0.833574,-0.476596
-0.079802,-0.978724,-0.527453
0.007085,-1.179169,-0.680025
-0.139954,-1.116962,-0.705454
-0.160005,-1.199904,-0.807168
0.194225,-1.510940,-0.972454
0.361315,-1.607706,-0.794454
0.408100,-1.441821,-0.571953
0.261061,-1.358878,-1.023311
0.381365,-1.317407,-1.264883
1.049724,-1.545499,-1.303026
1.517575,-1.566235,-0.883454
1.898539,-1.414173,-0.489310
1.992109,-1.289759,-0.419382
2.012160,-1.248288,-0.451167
2.045578,-1.103138,-0.057024
2.065629,-1.054755,0.235405
1.998793,-0.902693,0.375263
1.905223,-0.764455,0.667692
1.564360,-0.550187,0.909264
1.283649,-0.239151,1.093622
1.163345,0.044236,1.233479
1.043040,0.099531,1.271622
1.123243,0.134091,1.519551
1.049724,0.154826,1.500480
0.855900,0.313800,1.309765
0.608607,0.479685,1.227122
0.454885,0.583364,1.093622
0.521721,0.514245,1.049121
0.621974,0.597187,1.119050
0.902685,0.507333,0.788478
0.488303,0.534980,0.756692
-0.046384,0.804544,0.979193
-0.427348,1.101756,1.068193
-0.547653,1.198522,1.150836
-0.948668,1.212346,1.246193
-0.561020,1.032637,1.614908
-0.186739,0.887487,1.614908
-0.280310,1.074108,1.614908
-0.434032,1.184698,1.614908
-0.413981,1.150139,1.608551
-0.527602,1.039548,1.557694
-0.708059,1.150139,1.436908
-0.741477,1.205434,1.614908
-0.794946,1.371319,1.500480
-0.641223,1.371319,1.462337
-0.681325,1.281465,1.322479
-0.888516,1.239993,1.017336
-0.935301,1.226170,0.845692
-0.728110,1.260729,0.820264
-0.948668,1.226170,0.635906
-1.115758,1.239993,0.318049
-1.329632,1.191610,0.051048
-1.356367,1.087932,0.051048
-1.276164,1.122491,0.502406
-1.135808,1.046460,0.871121
-1.282847,1.108667,0.718549
-1.416519,1.039548,0.515120
-1.376417,0.977341,0.273548
-1.376417,0.797632,0.178191
-1.249429,0.956606,0.305334
-1.403152,0.880575,0.031976
-1.443253,0.825280,-0.215953
-1.249429,0.728513,-0.470239
-1.236062,0.783809,-0.463882
-1.269480,0.763073,-0.870740
-1.449937,0.548804,-1.150454
-1.202644,0.645571,-0.908883
-1.175910,0.652483,-0.896168
-1.436570,0.776897,-1.201312
-1.269480,0.604099,-1.175883
-0.734793,0.396743,-1.277598
-0.487501,0.272329,-1.303026
-0.881832,0.341447,-1.125026
-0.962035,0.313800,-1.118669
-0.353829,0.106443,-0.908883
0.093971,-0.121649,-0.718168
0.140756,-0.232240,-0.667311
-0.139954,-0.239151,-0.997883
-0.273626,-0.481068,-1.347526
0.100655,-0.363565,-1.264883
0.461568,-0.252975,-1.372955
0.367998,-0.329006,-1.417455
1.009622,-0.978724,-1.112312
0.408100,-0.432684,-0.870740
1.056407,-0.812838,-1.233098
1.016306,-1.116962,-1.029669
0.956154,-0.881957,-1.671741
1.383903,-1.075490,-1.430169
1.517575,-1.462556,-1.156812
0.862583,-1.331230,-0.972454
0.682127,-1.020195,-0.451167
0.508353,-1.172257,-0.463882
0.428150,-1.345054,-0.057024
0.548455,-1.794327,-0.304953
0.575189,-1.891094,-0.260453
0.441518,-1.711384,-0.298596
