ax,ay,az
0.165311,0.068888,0.000000
0.182767,0.033021,0.000000
0.241271,0.003083,0.000000
0.258256,-0.012035,0.000000
0.262502,-0.018852,0.000000
0.252122,-0.018556,0.000000
0.186070,0.001304,0.000000
0.127566,0.035393,0.000000
0.014805,0.082820,0.000000
-0.009729,0.091120,0.000000
0.027072,0.095270,0.000000
0.043585,0.093788,0.000000
0.168141,0.066813,0.000000
0.205886,0.106237,0.000000
0.101145,0.213542,0.000000
-0.015862,0.267490,0.000000
0.135115,0.151886,0.000000
0.369130,-0.103036,0.000000
0.409233,-0.494904,0.000000
0.878206,-0.975403,0.000000
1.339158,-1.389503,0.000000
0.800358,-1.458273,0.000000
-0.465963,-1.109978,0.000000
-2.287596,-0.490162,0.000000
-3.820486,0.035096,0.000000
-3.109006,-0.154317,0.000000
-0.592878,-0.599541,0.000000
0.269579,-0.373372,0.000000
-1.198673,0.722793,0.000000
-0.867467,1.719657,0.000000
0.327139,2.688064,0.000000
-0.143721,3.604598,0.000000
-1.049112,3.671589,0.000000
-0.111638,2.674725,0.000000
1.759063,1.028996,0.000000
2.907904,-0.384339,0.000000
2.545559,-1.276863,0.000000
1.930327,-1.901126,0.000000
1.557131,-2.401484,0.000000
1.746324,-2.705019,0.000000
1.916645,-2.753336,0.000000
1.549110,-2.546434,0.000000
0.916894,-2.167904,0.000000
-0.092294,-1.644721,0.000000
-0.930689,-1.114128,0.000000
-1.483171,-0.765240,0.000000
-1.539316,-0.679871,0.000000
-1.098179,-0.656454,0.000000
-1.591686,-0.369222,0.000000
-2.535293,0.131433,0.000000
-2.470656,0.345153,0.000000
-1.632261,0.342188,0.000000
-1.072230,0.490102,0.000000
-0.533902,0.538419,0.000000
-0.176747,0.544051,0.000000
-0.053606,0.550572,0.000000
0.227589,0.593257,0.000000
0.529071,0.575175,0.000000
0.346483,0.705601,0.000000
0.011031,0.723386,0.000000
0.128982,0.613710,0.000000
0.302133,0.418961,0.000000
0.679576,0.234588,0.000000
0.352617,0.233402,0.000000
0.281374,0.210874,0.000000
0.203527,0.196053,0.000000
0.335632,0.075409,0.000000
0.485193,0.056735,0.000000
0.277600,0.087563,0.000000
0.047360,0.160482,0.000000
-0.162593,0.183900,0.000000
-0.068704,0.107423,0.000000
-0.102674,0.126097,0.000000
-0.247517,0.136472,0.000000
-0.157403,0.102977,0.000000
0.051606,0.059106,0.000000
0.149741,0.020275,0.000000
0.296000,-0.024781,0.000000
0.342237,-0.025966,0.000000
0.217681,0.038357,0.000000
0.045944,0.137954,0.000000
-0.104561,0.202871,0.000000
-0.127680,0.231031,0.000000
-0.049832,0.204353,0.000000
0.087463,0.158704,0.000000
0.224758,0.110091,0.000000
0.331385,0.038950,0.000000
0.225701,0.101791,0.000000
0.006785,0.153665,0.000000
0.103504,0.104162,0.000000
0.156818,0.114537,0.000000
-0.007841,0.164929,0.000000
-0.028601,0.143586,0.000000
-0.032375,0.147143,0.000000
0.069534,0.109794,0.000000
0.159649,0.059699,0.000000
0.043113,0.059106,0.000000
-0.075781,0.067406,0.000000
-0.123905,0.100902,0.000000
-0.141834,0.146254,0.000000
