ax,ay,az
0.285355,-0.282121,-0.456785
0.300513,-0.289731,-0.470534
0.435947,-0.357706,-0.593507
0.571505,-0.425682,-0.716480
0.706939,-0.493657,-0.839377
0.842374,-0.561632,-0.962350
0.972386,-0.629693,-1.081580
0.798379,-0.700918,-0.996263
0.624496,-0.772142,-0.910869
0.450612,-0.843410,-0.825552
0.276605,-0.914634,-0.740234
0.102722,-0.985859,-0.654841
0.243209,-1.047891,-0.558524
0.412286,-1.109069,-0.461215
0.581487,-1.170247,-0.363829
0.750564,-1.231425,-0.266520
0.919642,-1.292646,-0.169211
0.733928,-1.305257,-0.246585
0.468111,-1.306925,-0.363448
0.202295,-1.308592,-0.480234
-0.063521,-1.310302,-0.597097
-0.329337,-1.311969,-0.713883
-0.246894,-1.203465,-0.802332
-0.026428,-1.051354,-0.879553
0.193915,-0.899286,-0.956774
0.414381,-0.747175,-1.033995
0.634847,-0.595107,-1.111216
0.611679,-0.478694,-1.082726
0.406741,-0.389000,-0.975335
0.201679,-0.299264,-0.868020
-0.003260,-0.209528,-0.760628
-0.208198,-0.119792,-0.653237
-0.429404,-0.110515,-0.732825
-0.665520,-0.174857,-0.983736
-0.901637,-0.239198,-1.234571
-1.137754,-0.303582,-1.485482
-1.373871,-0.367924,-1.736317
-1.488232,-0.328036,-1.720506
-1.425136,-0.136123,-1.316070
-1.362040,0.055747,-0.911557
-1.298944,0.247660,-0.507120
-1.235849,0.439530,-0.102607
-1.094869,0.648287,0.223310
-0.793438,0.891758,0.387758
-0.491883,1.135230,0.552206
-0.190452,1.378702,0.716578
0.110979,1.622173,0.881026
0.357447,1.805792,1.003541
0.405878,1.773857,0.975050
0.454309,1.741964,0.946560
0.502740,1.710071,0.917994
0.551171,1.678135,0.889504
0.589497,1.635982,0.898364
0.558196,1.522476,1.166766
0.526894,1.408970,1.435169
0.495716,1.295421,1.703647
0.464414,1.181915,1.972050
0.433483,1.068836,2.238848
0.511243,1.067126,2.083795
0.589004,1.065459,1.928742
0.666765,1.063792,1.773612
0.744526,1.062082,1.618559
0.822163,1.060414,1.463506
0.861352,1.075890,1.515445
0.897583,1.092649,1.582889
0.933814,1.109451,1.650334
0.970045,1.126209,1.717701
1.006399,1.142968,1.785146
1.040535,1.145790,1.624975
1.074301,1.145790,1.418823
1.107944,1.145790,1.212671
1.141710,1.145790,1.006519
1.175476,1.145790,0.800367
1.089212,1.026256,0.633475
0.955996,0.859908,0.481859
0.822903,0.693561,0.330243
0.689687,0.527214,0.178627
0.556470,0.360866,0.027011
0.365334,0.260699,0.020061
0.140308,0.199393,0.098046
-0.084717,0.138129,0.176107
-0.309743,0.076823,0.254092
-0.534892,0.015560,0.332076
-0.901021,-0.137919,0.194438
-1.388289,-0.370574,-0.128576
-1.875681,-0.603273,-0.451591
-2.363072,-0.835971,-0.774606
-2.850464,-1.068626,-1.097544
-3.001302,-1.234118,-1.195922
-2.706156,-1.310516,-0.996492
-2.411010,-1.386871,-0.797062
-2.115864,-1.463268,-0.597631
-1.820718,-1.539623,-0.398201
-1.445593,-1.523676,-0.279887
-0.912605,-1.325351,-0.321744
-0.379494,-1.127068,-0.363600
0.153494,-0.928742,-0.405457
0.686483,-0.730459,-0.447314
1.110162,-0.569499,-0.523236
1.161058,-0.535938,-0.715105
