ax,ay,az
-0.020485,-0.110375,-0.599905
-0.329968,-0.118810,-0.495045
-0.005745,0.054111,-0.673307
-0.094171,-0.055546,-0.589418
-0.462605,-0.072417,-0.201436
-0.447870,-0.047111,-0.652336
-0.668926,-0.173639,-0.505532
-0.551031,-0.418257,-0.746709
-0.138381,-0.232683,-0.662820
0.259522,-0.203162,-0.358727
0.421634,-0.359210,-0.505532
0.023725,-0.511043,-0.841082
0.436374,-0.388733,-0.610392
-0.212072,-0.371863,-0.442613
0.156361,-0.418257,-0.474074
0.200577,-0.173639,-0.358727
0.274263,-0.076634,-0.411156
-0.035220,-0.300164,-0.495045
-0.108911,-0.148333,-0.348240
0.230052,-0.198944,-0.547476
-0.094171,-0.144115,-0.547476
0.141626,-0.203162,-0.190949
0.023725,-0.245336,-0.306296
-0.094171,-0.338122,-0.285325
-0.300493,-0.346558,-0.421643
-0.344709,-0.241118,-0.421643
0.112151,-0.266424,-1.092747
-0.005745,-0.224248,-0.610392
0.215312,-0.414039,-0.442613
-0.374179,-0.304382,-0.453100
0.392159,-0.220030,-0.169978
0.141626,-0.409821,-0.023174
0.274263,-0.506826,0.165575
-0.182597,-0.241118,-0.316783
-0.344709,-0.401386,-0.453100
-0.035220,-0.764098,-0.400672
0.067941,-0.949672,-0.683794
-0.153122,-1.055111,-0.662820
-0.536290,-1.253338,-0.641849
-1.111046,-1.240685,-0.599905
-1.125786,-1.198509,-0.683794
-0.831038,-1.249120,-0.704765
-0.624716,-1.312384,-0.547476
0.451109,-1.312384,-0.715251
1.025865,-1.017153,-1.061289
0.952179,-0.709270,-1.050805
1.187977,-0.726140,0.396266
1.571151,-0.941237,-0.117547
0.642696,-0.683964,-1.669477
0.362683,-0.709270,-1.742880
1.011130,-0.671311,-1.176636
1.497460,-1.080417,0.459184
1.541675,-1.299731,0.647930
0.362683,-0.865320,0.081686
0.745857,0.315601,0.018771
0.937444,0.146898,0.197033
1.409039,-0.312817,2.021599
1.276403,-0.802056,1.266606
-0.772087,-1.122593,-0.086089
-1.685807,-1.004500,-0.757196
-1.523695,-0.561654,-1.040318
-0.359444,-0.443562,-0.495045
0.185837,-0.920149,0.427723
-0.845778,-1.131028,1.067373
-1.847913,-1.341907,0.354321
-2.245822,-1.105722,0.322864
-1.553170,-1.067764,1.035915
-0.462605,-1.396735,1.801392
-1.228947,-0.907496,1.256119
-1.921604,-0.717705,0.595502
-1.730017,0.180638,0.931052
1.482725,0.750012,2.262776
0.200577,0.918715,1.665074
-2.702682,0.855451,-0.337754
-0.831038,1.163335,-0.820111
0.480585,1.690531,-0.641849
-0.948939,1.580875,-0.862056
-1.995290,1.247686,-0.337754
-0.551031,0.956673,0.857650
0.392159,1.445913,2.157916
2.425914,1.669443,2.598329
3.708061,1.787535,2.472499
1.571151,1.644137,0.249461
-0.079436,1.825493,-0.998373
0.893229,1.783317,-0.778167
0.701647,1.559787,-0.641849
1.129026,1.391084,-0.316783
0.849018,1.386866,-0.788654
1.187977,1.838146,-1.019344
0.863753,2.179770,-0.767680
-0.035220,2.369561,-0.725738
-0.153122,2.424390,0.375295
0.436374,1.973109,1.245635
0.878494,1.471218,1.623130
1.158501,1.154900,2.608816
-0.138381,0.682530,2.231318
-1.037360,0.699401,1.832850
-1.081576,0.488522,1.612643
-1.214212,0.556003,1.539244
-0.713142,0.568656,1.748963
