ax,ay,az
-0.045129,0.665622,0.000000
-0.201949,0.556100,0.000000
-0.132251,-0.256191,0.000000
0.355632,-0.593885,0.000000
0.930637,-0.174049,0.000000
0.948062,0.200152,0.000000
0.808666,1.140219,0.000000
0.407905,1.560054,0.000000
0.721544,1.751718,0.000000
0.878364,2.454486,0.000000
0.564725,1.806479,0.000000
0.007144,1.751718,0.000000
0.129115,1.952509,0.000000
-0.219373,2.034651,0.000000
1.819282,1.861240,0.000000
1.244276,1.341009,0.000000
-0.219373,1.386644,0.000000
-1.247413,1.523547,0.000000
-0.550437,1.286248,0.000000
1.575340,0.921174,0.000000
1.906404,0.483085,0.000000
-0.306495,-0.274445,0.000000
-1.055744,0.090630,0.000000
1.209428,0.501338,0.000000
0.564725,0.501338,0.000000
-0.463315,-0.110161,0.000000
-0.672408,0.108883,0.000000
0.076842,0.200152,0.000000
-0.620134,1.395771,0.000000
-1.613325,0.930301,0.000000
-1.979238,0.802525,0.000000
0.041993,0.108883,0.000000
-0.428466,0.245786,0.000000
-2.101209,-0.785549,0.000000
-3.913346,0.337055,0.000000
-1.456506,1.003316,0.000000
1.244276,0.400943,0.000000
1.279125,-1.187131,0.000000
-0.742105,-2.200212,0.000000
-1.892116,-1.853391,0.000000
-1.491354,-0.365713,0.000000
-0.045129,-0.009766,0.000000
-0.445890,-1.050228,0.000000
0.982910,-1.789503,0.000000
-1.822418,-2.291481,0.000000
-2.606516,-1.251019,0.000000
-1.439081,-0.749041,0.000000
-0.463315,-1.168877,0.000000
1.192003,-0.958959,0.000000
-1.055744,-0.301825,0.000000
-1.595901,-0.292698,0.000000
-0.672408,-0.557377,0.000000
0.721544,-1.351414,0.000000
0.860940,-1.533951,0.000000
0.198812,-1.762123,0.000000
-0.428466,-2.264100,0.000000
1.296550,-1.798630,0.000000
2.098072,-1.524824,0.000000
0.686696,0.072376,0.000000
-0.289071,0.455704,0.000000
0.948062,-0.593885,0.000000
1.279125,-1.990294,0.000000
1.575340,-1.369668,0.000000
0.965486,-0.502616,0.000000
0.982910,-0.931579,0.000000
0.425330,-0.548250,0.000000
0.547300,0.245786,0.000000
0.564725,0.291421,0.000000
0.233661,-0.128415,0.000000
-0.097402,-0.128415,0.000000
-0.219373,-0.055400,0.000000
0.268510,0.373562,0.000000
-0.428466,0.391816,0.000000
-0.045129,-0.228810,0.000000
0.181388,-1.059355,0.000000
-0.149676,-0.438728,0.000000
0.425330,-0.037146,0.000000
0.181388,0.008488,0.000000
0.216237,0.291421,0.000000
-0.079978,-0.101034,0.000000
0.163964,-0.329206,0.000000
0.024568,0.154518,0.000000
-0.097402,0.181898,0.000000
0.320783,0.601734,0.000000
1.000335,0.556100,0.000000
0.477603,0.209279,0.000000
0.547300,0.054122,0.000000
0.373056,0.181898,0.000000
-0.463315,0.273167,0.000000
0.704120,0.127137,0.000000
0.338208,0.118010,0.000000
-0.010280,0.081503,0.000000
-0.184524,-0.028019,0.000000
-0.602710,-0.119288,0.000000
-0.933774,0.008488,0.000000
-0.654983,0.072376,0.000000
-0.201949,0.154518,0.000000
-0.097402,0.273167,0.000000
-0.533012,0.364435,0.000000
-0.480739,0.200152,0.000000
