ax,ay,az
0.468835,-0.075183,-0.329297
0.434790,-0.055415,-0.326278
0.392577,-0.054347,-0.330543
0.394128,-0.092445,-0.316312
0.439679,-0.111353,-0.305340
0.500554,-0.097665,-0.299303
0.511107,-0.069266,-0.268351
0.481892,-0.050803,-0.246551
0.468835,-0.072588,-0.285888
0.476466,-0.104087,-0.346833
0.533942,-0.112792,-0.300501
0.598275,-0.088738,-0.204483
0.583906,-0.086454,-0.110478
0.589809,-0.136623,-0.090067
0.713406,-0.246112,-0.073393
0.947066,-0.483554,-0.117042
1.038646,-0.847256,-0.118958
1.022012,-1.181759,0.118164
0.962985,-1.384987,0.450489
0.633512,-1.531996,0.570416
0.060480,-1.619092,0.333485
-0.539083,-1.622903,0.043371
-0.951670,-1.512168,0.170677
-1.116765,-1.331541,0.536302
-1.413506,-1.149044,0.658193
-1.767246,-0.902853,0.654983
-1.697905,-0.501987,0.947780
-1.696295,-0.006491,1.360120
-1.710783,0.442750,1.770209
-1.868544,0.823285,1.731878
-2.115977,1.245580,1.205217
-2.346776,1.607399,0.041072
-2.339085,1.803688,-0.925432
-2.066610,2.037985,-1.263076
-1.270054,2.454348,-0.650315
-0.150762,2.660291,-0.177269
0.388583,2.425297,-0.374144
0.041401,2.212102,-0.890360
-0.680567,2.065094,-1.306629
-1.416487,1.937527,-1.305239
-1.823112,1.881352,-1.006214
-1.848153,1.796050,-0.453248
-1.653248,1.749692,0.114858
-1.178474,1.750167,0.736962
-0.931160,1.677040,1.556085
-0.955069,1.386405,2.553013
-1.150392,0.680295,3.542228
-1.994765,-0.226300,4.027013
-2.265153,-0.895275,3.536526
-1.511167,-1.270264,2.910541
-0.566152,-1.541013,2.479946
-0.634717,-1.927435,1.393516
0.297897,-1.592650,0.178582
1.426013,-1.027217,-0.275778
1.808313,-0.954891,-0.046705
1.663072,-1.235102,-0.156714
1.115321,-1.365798,-0.512852
0.855248,-1.055171,-0.600533
0.775413,-0.711103,-0.533934
0.721991,-0.555731,-0.543133
0.640368,-0.494691,-0.587501
0.572399,-0.421075,-0.486308
0.569179,-0.302407,-0.407827
0.518023,-0.174291,-0.236681
0.462157,-0.060813,-0.134051
0.375704,0.023139,-0.170896
0.286986,0.064232,-0.157385
0.245608,0.037776,-0.281096
0.312147,0.021567,-0.357901
0.386913,0.053614,-0.287277
0.462336,0.090007,-0.253786
0.450054,0.112459,-0.224367
0.498646,0.082369,-0.237352
0.469967,0.025378,-0.386074
0.482846,-0.062489,-0.608247
0.551233,-0.107527,-0.628946
0.541395,-0.034980,-0.256325
0.583966,0.005699,-0.372994
0.558924,-0.005824,-0.640205
0.498407,-0.031583,-0.648015
0.519335,-0.049127,-0.669049
0.522495,-0.046102,-0.540833
0.489047,-0.064847,-0.514385
0.521839,-0.077838,-0.572791
0.447013,-0.047763,-0.578445
0.422866,-0.046324,-0.590088
0.461859,-0.061911,-0.594688
0.516175,-0.091986,-0.578158
0.646808,-0.116425,-0.563113
0.627848,-0.097250,-0.539252
0.541276,-0.074813,-0.528663
0.533406,-0.059864,-0.521764
0.580209,-0.071847,-0.556884
0.602329,-0.093053,-0.609349
0.574903,-0.098911,-0.603264
0.572697,-0.088159,-0.538821
0.567689,-0.088308,-0.468820
0.569060,-0.091185,-0.481900
0.597798,-0.094507,-0.503653
0.531617,-0.109233,-0.613278
