ax,ay,az
2.920275,-0.075061,-0.778906
1.483351,-0.088434,-0.592244
0.020355,-0.096985,-0.403722
0.118162,-0.080655,-0.449777
0.122902,-0.080428,-0.472688
0.053062,-0.088798,-0.469781
-0.048695,-0.097031,-0.450010
-0.147292,-0.110131,-0.466175
-0.202279,-0.115498,-0.478736
-0.265798,-0.116545,-0.511881
-0.356968,-0.121912,-0.547353
-0.418434,-0.130418,-0.579917
-0.415747,-0.141017,-0.596664
-0.326315,-0.130509,-0.601083
-0.286497,-0.127461,-0.602246
-0.192798,-0.108994,-0.633763
-0.126751,-0.096167,-0.655163
-0.155982,-0.093938,-0.670630
-0.214919,-0.103581,-0.676445
-0.169413,-0.098941,-0.669467
-0.134967,-0.094893,-0.667141
-0.082351,-0.080974,-0.664583
-0.003663,-0.065781,-0.639346
0.046110,-0.053864,-0.609689
0.025411,-0.051316,-0.597710
0.008662,-0.054773,-0.582475
-0.007929,-0.059550,-0.545608
-0.016619,-0.053864,-0.514207
-0.055963,-0.045449,-0.529559
-0.083141,-0.032803,-0.553749
-0.126751,-0.018293,-0.552702
-0.198486,-0.000781,-0.608177
-0.224400,0.029923,-0.660396
-0.229772,0.073499,-0.647022
-0.268168,0.133178,-0.638299
-0.329633,0.210779,-0.651906
-0.332793,0.326952,-0.579102
-0.359971,0.474694,-0.486295
-0.354756,0.661781,-0.435239
-0.366449,0.861014,-0.431518
-0.394416,1.034910,-0.350573
-0.298348,1.214719,-0.285562
-0.242729,1.354364,-0.290330
-0.395048,1.393892,-0.357784
-0.458726,1.370466,-0.365460
-0.304668,1.341355,-0.323359
-0.320785,1.222361,-0.205780
-0.675671,1.014623,-0.005279
-1.266462,0.662145,0.327339
-1.779356,0.255220,0.809053
-2.103273,-0.111723,0.979432
-1.963752,-0.369724,0.908606
-1.261406,-0.580829,0.850339
-0.256949,-0.760275,0.906280
0.557740,-0.937901,0.758695
1.178869,-1.163197,0.757532
1.709776,-1.429114,0.923027
1.950422,-1.673151,1.048631
1.537705,-1.958353,1.147951
0.920526,-2.217583,1.226686
0.437180,-2.352815,1.134227
0.154503,-2.339397,0.853712
0.251520,-2.210578,0.481785
1.061627,-1.861830,-0.013304
1.835866,-1.476647,-0.331733
1.832548,-1.268136,-0.394651
1.081378,-1.218327,-0.223690
0.066019,-1.222922,0.075317
-0.900358,-1.241526,0.457129
-1.544082,-1.236204,0.896278
-1.607444,-1.109068,1.444748
-1.398557,-0.935126,1.886106
-1.149063,-0.767234,2.216863
-0.918687,-0.574142,2.342816
-0.668244,-0.332516,2.453417
-0.511658,-0.050088,2.761146
-0.830202,0.256402,2.992118
-1.510269,0.589457,2.831856
-1.978130,1.029542,2.607165
-2.069143,1.574339,2.167901
-1.893280,2.087658,1.035605
-1.212108,2.459422,-0.301029
-0.229298,2.620991,-1.061282
0.576859,2.492718,-1.466587
1.015015,2.075558,-1.637780
1.127833,1.499467,-1.349240
1.221689,0.990606,-0.606200
1.193248,0.611382,-0.126696
0.999846,0.374895,-0.024817
0.769944,0.263089,-0.047496
0.703265,0.257494,-0.146467
0.590131,0.242256,-0.430936
0.566430,0.229156,-0.618761
0.737553,0.220513,-0.663304
0.892243,0.217647,-0.774137
0.885290,0.194813,-0.854501
0.714010,0.139228,-0.817982
0.470835,0.056897,-0.682493
1.757968,0.017414,-0.779720
3.049684,-0.023569,-0.843452
