ax,ay,az
0.019701,0.636047,0.319835
0.095476,0.571839,0.353882
0.108105,0.533314,0.374310
0.082847,0.379214,0.278979
0.221767,0.636047,0.190458
0.272283,0.790147,-0.163629
0.221767,0.725938,-0.415575
0.145992,0.828672,-0.681140
0.171250,0.905722,-1.062464
0.095476,1.008455,-1.287173
0.145992,1.085505,-1.232698
0.095476,1.136871,-1.341647
0.247025,1.124030,-1.423360
0.360686,1.175396,-1.368885
0.133363,1.175396,-1.334838
0.070218,1.239604,-1.253126
-0.131848,1.201079,-1.205460
-0.182364,1.175396,-0.960323
-0.472833,1.226763,-0.803708
-0.611752,1.265288,-0.681140
-0.763301,1.213921,-0.415575
-1.028512,1.265288,-0.163629
-1.243206,1.380863,-0.163629
-1.546304,1.445071,-0.313435
-1.382126,1.368021,-0.340672
-1.041141,1.393704,-0.190866
-0.674898,1.432229,0.101936
-0.624381,0.892880,0.244933
-1.748369,2.138520,0.156411
-1.899918,1.303813,0.027033
-1.697853,1.085505,0.299407
-0.977996,1.021296,0.626256
-0.788559,0.957088,1.136958
-1.483159,1.509279,1.327620
-1.571562,-0.956318,1.102911
-2.619775,1.034138,1.164196
-1.849402,-0.134452,1.082483
-0.763301,0.931405,1.348048
-0.674898,1.201079,1.123339
-1.230577,1.021296,0.953106
-1.003254,0.507630,0.599019
0.158621,0.289322,1.041627
0.512235,0.340689,1.177814
0.436461,0.122381,0.810109
0.032330,-0.160135,0.646685
0.310170,-1.200309,1.314001
1.383641,-1.778183,1.348048
2.292935,-1.868075,1.348048
2.772840,-1.264517,1.348048
3.063308,-1.585558,1.348048
2.255048,-1.662608,1.348048
0.966882,-1.495667,1.348048
0.575381,-1.161784,1.348048
0.082847,-1.148942,1.348048
0.007072,-1.919441,1.348048
0.777446,-2.189116,1.348048
1.383641,-1.328725,1.348048
0.689042,-1.136101,1.348048
-0.106589,-1.123259,1.348048
-0.485462,-1.213151,1.348048
0.474348,-1.084734,1.348048
0.145992,-1.084734,1.198242
0.221767,-0.686643,0.735206
-0.005557,-0.442652,-0.136391
-0.258138,-0.673801,-0.374719
0.196508,-0.699485,0.435595
0.423832,-0.378443,0.408357
0.335428,-0.275710,-1.028417
-0.207622,-0.571068,-1.675306
0.701671,-0.827901,-0.340672
0.436461,-0.930634,0.285789
-0.245509,-0.481177,0.456023
-0.018186,-0.250027,-0.190866
-0.965367,-0.095927,-1.430169
-1.129544,-0.506860,-1.825112
0.221767,-0.622435,-1.178223
0.613268,-0.802218,-0.422384
1.055286,-0.789376,-0.565381
0.916366,-0.750851,-0.756043
0.550123,-0.738010,-0.939895
0.158621,-0.455493,-0.708377
0.954253,-0.776535,-0.109154
1.762514,-1.033367,0.272170
1.055286,-0.545385,0.204076
0.373315,-0.224344,-0.286197
-0.018186,-0.391285,-0.830946
-0.346542,-0.378443,-1.164604
-0.864334,-0.301394,-1.654878
-1.015883,-0.147294,-1.838730
-0.990625,-0.160135,-1.757018
-1.407384,0.315006,-1.368885
-0.561236,-0.288552,-1.035226
-0.409687,-0.969159,-1.123748
0.701671,-0.969159,-1.212270
0.461719,-0.725168,-1.436978
0.247025,0.148064,-1.028417
0.360686,0.648889,-0.279388
0.802704,0.263639,0.183648
1.749885,-0.416968,0.503688
1.939321,-0.250027,0.796490
