ax,ay,az
0.038622,0.044589,0.000000
-0.090611,-0.011984,0.000000
0.880485,-0.131731,0.000000
0.311858,-0.243934,0.000000
0.112470,-0.140217,0.000000
0.160471,-0.154360,0.000000
-0.094303,-0.027070,0.000000
-0.319539,-0.091186,0.000000
0.448477,-0.235448,0.000000
0.455862,-0.261849,0.000000
0.034929,-0.152474,0.000000
0.105086,-0.278821,0.000000
0.182625,-0.432511,0.000000
0.407860,-0.422139,0.000000
-0.068457,-0.513599,0.000000
-0.138611,-0.752149,0.000000
-0.216152,-0.878496,0.000000
-0.290000,-1.042558,0.000000
-0.541082,-1.274508,0.000000
-0.703546,-1.265079,0.000000
-1.438331,-1.215106,0.000000
-1.279558,-1.326366,0.000000
-0.777393,-1.469685,0.000000
-0.264152,-1.497972,0.000000
0.204781,-1.369739,0.000000
0.459554,-1.241507,0.000000
0.729098,-1.189648,0.000000
1.342032,-1.359368,0.000000
1.290339,-1.385768,0.000000
0.116162,-1.241507,0.000000
-0.710931,-0.430625,0.000000
-1.124477,-0.202447,0.000000
0.031238,-0.553200,0.000000
0.769714,-0.556972,0.000000
1.035566,-0.522085,0.000000
1.116798,-0.328794,0.000000
0.334012,-0.029899,0.000000
0.489092,-0.075157,0.000000
0.496477,-0.168503,0.000000
0.145700,-0.048757,0.000000
-0.714623,0.044589,0.000000
-1.430945,0.183193,0.000000
-0.991552,0.242595,0.000000
-0.046303,0.151135,0.000000
0.289705,0.320855,0.000000
0.245395,0.552804,0.000000
0.743868,0.552804,0.000000
1.445420,0.459459,0.000000
1.570959,0.495288,0.000000
1.234955,0.635778,0.000000
0.684788,0.787583,0.000000
-0.378617,1.209996,0.000000
-1.205710,1.581493,0.000000
-0.758933,1.419316,0.000000
0.555555,0.836613,0.000000
0.791868,0.712152,0.000000
1.116798,0.563176,0.000000
1.124183,0.570719,0.000000
0.961718,0.844156,0.000000
-0.286306,1.417430,0.000000
-1.685719,2.404632,0.000000
-2.088189,2.737470,0.000000
-0.644468,2.221712,0.000000
0.994948,1.496633,0.000000
1.899583,1.060077,0.000000
1.556191,1.059134,0.000000
0.020160,1.489090,0.000000
-1.172479,1.870959,0.000000
-0.888164,1.621094,0.000000
-0.415541,1.208110,0.000000
-1.083861,1.364629,0.000000
-2.560814,1.779499,0.000000
-3.096210,1.969018,0.000000
-2.978053,1.755926,0.000000
-1.907262,1.186423,0.000000
-0.950936,0.758353,0.000000
0.023852,0.323683,0.000000
0.112470,0.199222,0.000000
-0.009379,0.160564,0.000000
-0.518927,-0.083644,0.000000
0.009084,-0.218476,0.000000
0.226935,-0.255248,0.000000
1.522959,-0.882268,0.000000
2.036200,-1.128361,0.000000
1.585729,-1.140618,0.000000
-0.064763,-0.387253,0.000000
-0.814317,-0.103444,0.000000
0.422630,-0.622974,0.000000
1.253415,-1.136847,0.000000
-0.493081,-0.780436,0.000000
-1.674642,-0.401396,0.000000
-0.688777,-0.690862,0.000000
0.274935,-1.043501,0.000000
0.780791,-1.234907,0.000000
1.334648,-1.329195,0.000000
0.766022,-1.169848,0.000000
0.097700,-0.868124,0.000000
0.046008,-0.767235,0.000000
0.053392,-0.763464,0.000000
0.123546,-0.760635,0.000000
