path,label,group,n_rows,n_channels,src_axes,z_imputed,orig_name
circle/Arthur_F_lix__circle_arthur_1.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_1.csv
circle/Arthur_F_lix__circle_arthur_10.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_10.csv
circle/Arthur_F_lix__circle_arthur_100.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_100.csv
circle/Arthur_F_lix__circle_arthur_11.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_11.csv
circle/Arthur_F_lix__circle_arthur_12.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_12.csv
circle/Arthur_F_lix__circle_arthur_13.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_13.csv
circle/Arthur_F_lix__circle_arthur_14.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_14.csv
circle/Arthur_F_lix__circle_arthur_15.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_15.csv
circle/Arthur_F_lix__circle_arthur_16.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_16.csv
circle/Arthur_F_lix__circle_arthur_17.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_17.csv
circle/Arthur_F_lix__circle_arthur_18.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_18.csv
circle/Arthur_F_lix__circle_arthur_19.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_19.csv
circle/Arthur_F_lix__circle_arthur_2.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_2.csv
circle/Arthur_F_lix__circle_arthur_20.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_20.csv
circle/Arthur_F_lix__circle_arthur_21.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_21.csv
circle/Arthur_F_lix__circle_arthur_22.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_22.csv
circle/Arthur_F_lix__circle_arthur_23.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_23.csv
circle/Arthur_F_lix__circle_arthur_24.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_24.csv
circle/Arthur_F_lix__circle_arthur_25.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_25.csv
circle/Arthur_F_lix__circle_arthur_26.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_26.csv
circle/Arthur_F_lix__circle_arthur_27.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_27.csv
circle/Arthur_F_lix__circle_arthur_28.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_28.csv
circle/Arthur_F_lix__circle_arthur_29.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_29.csv
circle/Arthur_F_lix__circle_arthur_3.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_3.csv
circle/Arthur_F_lix__circle_arthur_30.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_30.csv
circle/Arthur_F_lix__circle_arthur_31.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_31.csv
circle/Arthur_F_lix__circle_arthur_32.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_32.csv
circle/Arthur_F_lix__circle_arthur_33.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_33.csv
circle/Arthur_F_lix__circle_arthur_34.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_34.csv
circle/Arthur_F_lix__circle_arthur_35.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_35.csv
circle/Arthur_F_lix__circle_arthur_36.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_36.csv
circle/Arthur_F_lix__circle_arthur_37.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_37.csv
circle/Arthur_F_lix__circle_arthur_38.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_38.csv
circle/Arthur_F_lix__circle_arthur_39.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_39.csv
circle/Arthur_F_lix__circle_arthur_4.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_4.csv
circle/Arthur_F_lix__circle_arthur_40.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_40.csv
circle/Arthur_F_lix__circle_arthur_41.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_41.csv
circle/Arthur_F_lix__circle_arthur_42.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_42.csv
circle/Arthur_F_lix__circle_arthur_43.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_43.csv
circle/Arthur_F_lix__circle_arthur_44.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_44.csv
circle/Arthur_F_lix__circle_arthur_45.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_45.csv
circle/Arthur_F_lix__circle_arthur_46.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_46.csv
circle/Arthur_F_lix__circle_arthur_47.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_47.csv
circle/Arthur_F_lix__circle_arthur_48.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_48.csv
circle/Arthur_F_lix__circle_arthur_49.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_49.csv
circle/Arthur_F_lix__circle_arthur_5.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_5.csv
circle/Arthur_F_lix__circle_arthur_50.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_50.csv
circle/Arthur_F_lix__circle_arthur_51.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_51.csv
circle/Arthur_F_lix__circle_arthur_52.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_52.csv
circle/Arthur_F_lix__circle_arthur_53.csv,circle,Arthur_F_lix,100,3,3,0,circle_arthur_53.csv
