ax,ay,az
-1.769484,0.842267,-1.485007
-1.769484,0.842267,-1.485007
-1.769484,0.842267,-1.485007
-1.723166,0.729591,-1.391057
-1.633121,0.510984,-1.208917
-1.543195,0.292266,-1.026778
-1.453151,0.073660,-0.844639
-1.363107,-0.144947,-0.662278
-1.265519,-0.208970,-0.637682
-1.156618,-0.048194,-0.842423
-1.047716,0.112582,-1.047163
-0.938814,0.273469,-1.251904
-0.830030,0.434245,-1.456423
-0.698264,0.405827,-1.490325
-0.518057,-0.025526,-1.160170
-0.337851,-0.456880,-0.830014
-0.157645,-0.888233,-0.499859
0.022562,-1.319586,-0.169704
0.213375,-1.624331,0.110817
0.442493,-1.476050,0.214073
0.671493,-1.327769,0.317552
0.900611,-1.179488,0.420808
1.129611,-1.031206,0.524286
1.364151,-0.881488,0.663439
1.667284,-0.712971,1.259712
1.970417,-0.544566,1.855986
2.273669,-0.376049,2.452481
2.576802,-0.207533,3.048754
2.860253,-0.036584,3.622427
2.140488,0.262411,3.049198
1.420723,0.561296,2.476190
0.700958,0.860291,1.902961
-0.018925,1.159175,1.329732
-0.738690,1.458170,0.756503
-0.814355,1.085974,0.748083
-0.800330,0.620343,0.818102
-0.786422,0.154711,0.888122
-0.772397,-0.310921,0.958363
-0.758372,-0.776552,1.028382
-0.594666,-0.565133,0.869731
-0.397841,-0.204658,0.661002
-0.201135,0.155817,0.452051
-0.004428,0.516402,0.243101
0.192397,0.876877,0.034372
0.341606,0.814291,0.094198
0.473019,0.593584,0.254623
0.604549,0.372876,0.415047
0.735962,0.152168,0.575471
0.867493,-0.068540,0.735896
0.799842,-0.319435,0.562398
0.609028,-0.589017,0.181944
0.418214,-0.858599,-0.198288
0.227519,-1.128181,-0.578520
0.036705,-1.397763,-0.958753
-0.029650,-1.521165,-1.043175
0.033169,-1.492747,-0.819822
0.095988,-1.464329,-0.596690
0.158925,-1.436022,-0.373337
0.221743,-1.407604,-0.150205
0.121092,-1.168430,-0.078413
-0.197952,-0.647953,-0.208702
-0.516879,-0.127587,-0.339213
-0.835805,0.392779,-0.469503
-1.154732,0.913256,-0.599792
-1.333052,1.243212,-0.675794
-1.224269,1.184607,-0.641006
-1.115603,1.126002,-0.606218
-1.006819,1.067398,-0.571430
-0.898035,1.008793,-0.536642
-0.778054,0.874555,-0.521353
-0.620831,0.492960,-0.568992
-0.463724,0.111255,-0.616854
-0.306501,-0.270339,-0.664715
-0.149395,-0.651934,-0.712355
0.006179,-0.979900,-0.742047
0.151617,-0.962539,-0.655409
0.297055,-0.945290,-0.568549
0.442493,-0.927929,-0.481690
0.587931,-0.910569,-0.394830
0.734430,-0.896637,-0.303317
0.917347,-0.994274,-0.055369
1.100147,-1.092023,0.192580
1.282946,-1.189771,0.440529
1.465745,-1.287409,0.688478
1.648545,-1.385157,0.936648
1.376762,-0.743601,0.687813
1.073864,-0.051843,0.405519
0.771084,0.640025,0.123004
0.468187,1.331893,-0.159511
0.165407,2.023761,-0.442027
0.120149,2.141413,-0.328134
0.124746,2.147937,-0.137353
0.129342,2.154461,0.053649
0.133939,2.160875,0.244430
0.138535,2.167398,0.435211
-0.054164,1.754622,0.252407
-0.320526,1.185050,-0.069993
-0.587005,0.615588,-0.392171
-0.853484,0.046016,-0.714571
-1.119846,-0.523446,-1.036971
