ax,ay,az
-0.027852,0.037093,-0.003438
-0.646611,-0.294113,0.526381
-0.285667,0.268937,0.569339
-0.749740,0.037093,1.428498
-0.698166,-0.989632,0.497740
0.126851,-0.989632,-0.246867
0.487795,1.361917,-0.318462
0.900294,0.831987,-0.332782
0.229981,-0.294113,-0.590532
-0.388796,-1.751405,-1.320818
0.951869,1.395037,-0.447338
0.487795,0.235816,-0.934196
0.539351,0.699505,0.111118
0.436221,0.235816,-0.977154
0.178407,0.699505,-0.275504
-0.130963,0.467661,0.726852
0.229981,0.964469,0.769810
-0.852870,0.368299,1.256668
-1.110684,0.103334,0.855725
-0.904425,0.600143,1.371220
-0.749740,0.302058,0.683891
-0.646611,-0.360354,0.368867
-0.182537,0.037093,0.540698
-0.491926,0.136455,0.125438
0.384666,1.196314,0.354547
0.023722,0.401419,0.397504
-0.182537,0.567022,0.125438
0.023722,0.003972,-0.046396
-0.027852,0.567022,0.211354
0.075277,0.103334,-0.146631
0.229981,0.003972,-0.332782
0.075277,0.467661,-0.304145
0.126851,0.831987,0.197033
0.281536,0.567022,0.211354
-0.182537,0.169575,-0.017755
-0.234093,0.368299,0.440462
-0.130963,0.964469,0.769810
0.539351,1.494399,0.884362
-0.440352,-0.658440,-0.075033
0.281536,0.633264,-0.232547
-1.368499,-0.062269,-0.662126
4.973826,-2.248214,-1.936549
-0.595037,-1.751405,-0.418697
-1.626313,-0.062269,-0.447338
1.415942,2.289293,-0.418697
0.384666,1.196314,-0.117990
2.344089,-1.022752,0.025203
0.333091,-0.095389,-0.032075
0.075277,-1.552682,-0.676447
1.158128,-0.824043,-4.485394
1.261238,2.090570,-0.461655
0.436221,0.235816,-1.134668
0.023722,0.235816,-0.275504
0.384666,1.461278,0.010882
-0.130963,0.136455,-0.203910
-2.245072,-1.950129,1.915356
-1.729443,-0.294113,3.690957
-3.327922,-3.804882,2.029912
-1.059110,-0.824043,2.273341
-1.935702,-1.585803,1.514417
-2.038831,-1.950129,1.313946
-1.574758,-1.917008,0.955961
-0.801296,-1.088994,0.354547
0.178407,0.600143,0.197033
0.281536,0.533902,-0.633489
1.209683,1.660002,-0.475975
0.178407,-0.426595,-0.848277
0.384666,-0.327234,-0.676447
0.694054,0.202696,-0.662126
1.003424,0.600143,-0.805320
0.848739,-0.625319,-0.590532
-0.543481,-1.552682,-0.490296
-0.285667,-0.757801,0.125438
-0.595037,1.527520,0.311589
-0.440352,-0.360354,0.841405
-0.388796,-0.559078,0.282952
0.075277,-0.161631,-0.132311
0.075277,0.964469,1.156432
-0.337222,0.931349,1.786483
-1.523184,-1.618923,0.955961
-0.440352,-1.122114,0.154076
0.229981,-0.857163,-0.848277
0.694054,0.003972,-1.736078
1.467497,0.931349,-2.051105
2.034700,1.295675,-1.693120
1.003424,0.434540,-0.948513
0.487795,-0.095389,-0.733725
0.281536,-0.691560,-0.776682
0.539351,-0.327234,-0.776682
0.642480,0.500781,-0.748041
0.642480,0.997590,-0.060712
0.951869,1.096952,-0.447338
0.126851,-0.592198,-0.490296
-0.234093,-0.625319,-0.390060
-0.130963,-0.194751,-0.075033
-0.027852,0.600143,0.411825
0.023722,-0.327234,0.068160
0.023722,0.070213,-0.017755
-0.595037,0.136455,0.855725
-0.440352,-0.260992,0.325910
