ax,ay,az
-0.127410,2.357779,0.000000
-0.527126,1.986329,0.000000
0.422201,1.336292,0.000000
0.921846,0.361235,0.000000
0.272307,0.129079,0.000000
-0.527126,-0.845978,0.000000
1.221634,-1.449584,0.000000
0.422201,-0.567390,0.000000
0.572094,-0.149509,0.000000
0.172378,0.593392,0.000000
-0.077445,0.686254,0.000000
-0.876878,0.732685,0.000000
-0.427197,-0.660253,0.000000
0.122413,-0.335234,0.000000
-0.077445,0.454098,0.000000
0.322271,1.289860,0.000000
-0.627055,0.918410,0.000000
0.921846,-0.706684,0.000000
-0.027481,-0.799546,0.000000
0.672023,-0.613821,0.000000
0.372236,0.129079,0.000000
-0.477162,1.754173,0.000000
-0.077445,1.104135,0.000000
0.072449,0.268373,0.000000
0.871882,-0.706684,0.000000
-1.176666,-0.520959,0.000000
-1.876170,1.336292,0.000000
0.222342,-0.056646,0.000000
-0.726984,-0.567390,0.000000
1.471457,-0.706684,0.000000
-0.227339,-0.567390,0.000000
0.272307,-0.103077,0.000000
0.072449,0.546960,0.000000
-0.976807,1.614879,0.000000
-0.077445,1.196998,0.000000
0.122413,-0.938840,0.000000
-0.826914,-0.149509,0.000000
-0.876878,0.593392,0.000000
0.921846,-0.335234,0.000000
-0.127410,0.407666,0.000000
0.372236,-0.103077,0.000000
-0.277303,-0.613821,0.000000
-0.776949,-0.985271,0.000000
0.422201,-0.520959,0.000000
-0.726984,0.082648,0.000000
0.272307,-0.010215,0.000000
0.422201,-0.056646,0.000000
0.921846,0.082648,0.000000
-1.076736,1.150567,0.000000
-0.726984,1.475585,0.000000
-0.776949,0.454098,0.000000
-0.227339,0.779117,0.000000
0.771953,-0.149509,0.000000
-1.076736,-0.010215,0.000000
-0.327268,-0.660253,0.000000
-1.026772,-1.217428,0.000000
1.021775,-0.753115,0.000000
0.672023,-1.356721,0.000000
0.572094,0.221941,0.000000
1.471457,-0.567390,0.000000
-1.576382,0.639823,0.000000
-1.026772,-0.613821,0.000000
-0.527126,-0.706684,0.000000
-0.477162,-0.288802,0.000000
1.671315,0.361235,0.000000
0.721988,1.196998,0.000000
-1.176666,1.196998,0.000000
-1.826205,1.614879,0.000000
-0.177374,-1.635309,0.000000
1.121705,-0.520959,0.000000
-0.277303,-1.449584,0.000000
0.672023,-1.031703,0.000000
0.472165,-0.660253,0.000000
0.971811,-0.381665,0.000000
-1.826205,0.129079,0.000000
-1.426488,-1.542446,0.000000
-1.826205,-2.378209,0.000000
-0.677020,-0.613821,0.000000
-1.026772,1.196998,0.000000
0.372236,1.011273,0.000000
0.172378,-1.078134,0.000000
1.521421,-0.892409,0.000000
-0.027481,-1.217428,0.000000
-0.177374,-1.496015,0.000000
1.621350,-2.517503,0.000000
2.071031,-0.195940,0.000000
2.720571,1.057704,0.000000
1.371527,2.264917,0.000000
-0.477162,1.475585,0.000000
-1.676311,0.314804,0.000000
-1.426488,0.686254,0.000000
-1.276595,1.150567,0.000000
-1.026772,1.196998,0.000000
0.272307,0.686254,0.000000
-1.976099,0.964842,0.000000
-0.677020,-0.567390,0.000000
1.671315,-1.542446,0.000000
1.921138,-1.356721,0.000000
1.571386,-0.195940,0.000000
2.071031,-0.520959,0.000000
