ax,ay,az
-0.860435,-1.794712,-0.227456
0.688890,-1.196485,-0.135111
-0.788857,-1.260146,-0.591061
-2.121138,-1.442080,-0.977753
-2.188098,-0.990211,-1.308172
1.422568,0.260230,0.079397
2.687888,0.673091,-0.064891
1.335404,0.355722,-0.172145
-0.595480,0.030239,-0.408296
-0.209880,0.502392,-0.729097
1.948437,1.089073,-0.007176
1.555911,1.052249,-0.160602
-0.605870,0.473994,0.144807
-0.903728,0.276770,0.878271
-0.439047,0.610366,0.660877
-0.184482,0.986716,0.504565
-0.811369,1.100931,-0.310181
-1.128854,1.078462,-1.132141
0.122035,1.419861,-0.439078
0.879958,1.450755,-0.014390
0.447601,1.074718,0.280438
-0.503121,0.667786,0.525247
0.018131,0.610366,0.452622
-0.151001,0.608182,0.312181
-0.328793,0.288940,0.256871
0.481081,0.235265,0.162122
0.741996,0.292373,-0.068739
1.347526,0.296118,0.365087
0.696394,0.065190,0.308815
0.477041,-0.012514,0.482922
0.575172,-0.161680,0.538713
0.102986,-0.200688,-0.124049
-0.475413,-0.406963,-0.314028
-0.832150,-0.479050,-0.765169
-0.280304,-0.455645,0.118355
1.390819,-0.103324,0.160679
1.613058,-0.136091,-0.020643
0.823965,-0.370763,-0.522765
-1.057853,-0.794234,-1.897348
-1.736693,-1.056368,-1.874743
-0.611065,-0.904081,-0.841160
0.870722,-0.803284,-0.933985
0.016977,-1.145619,-0.724287
-0.690148,-1.228004,-0.619919
-1.010519,-1.434278,-1.941115
-1.298564,-1.680809,-0.465050
-1.005324,-1.643985,-0.103849
-0.923355,-1.695476,0.528613
-0.654359,-1.758201,1.293339
-1.179651,-1.793152,0.213585
-1.707253,-1.493882,-1.186489
-3.290635,-1.543188,-2.447566
-2.339336,-1.002693,-1.884362
0.661182,-0.620415,0.747450
2.207043,-0.367643,1.109613
1.640766,-0.692189,1.632416
0.788753,-1.032651,2.018627
1.091229,-1.227067,2.824715
0.877649,-1.414930,2.710247
0.422780,-1.117221,1.211095
0.242102,-1.017672,0.842199
-0.034398,-0.897528,1.688207
-0.213344,-0.976792,1.923397
0.362746,-0.260917,1.313540
0.623661,0.057077,0.461760
0.369673,0.136029,0.127493
-0.776735,0.140086,-0.428016
-0.329947,0.283635,-0.025933
0.355819,0.814144,0.057273
0.833201,0.943651,0.016872
0.341388,0.808215,-0.340000
-0.661863,0.594451,-0.371743
0.049302,1.006376,0.113545
0.594799,1.586191,0.157312
0.640401,1.837715,-0.326052
-0.062106,1.798082,-1.092221
-1.117886,1.478529,-0.787774
-1.419208,1.508175,-1.331258
0.046993,1.914482,-2.265282
0.777208,1.626447,-1.300958
0.601148,1.578077,-1.370216
0.046993,1.315007,-1.337030
-0.261255,1.121527,-0.933505
0.091441,0.876245,0.302562
0.383527,0.914629,0.485327
0.729297,1.266013,-0.527093
-0.369200,1.034149,-1.103283
0.131271,1.158351,-0.695910
0.772590,0.848783,0.149617
0.705630,0.157249,1.012940
-0.800979,-0.296492,1.428008
-0.865053,-0.155439,1.189933
0.901893,0.205619,1.745923
0.991366,0.032111,1.570372
0.666954,-0.272775,1.063922
-0.317825,-0.613237,0.402121
-0.877752,-0.812646,0.216470
-0.380168,-0.652869,0.205408
0.036026,-0.494653,0.474746
0.171101,-0.630089,0.178475
