ax,ay,az
-0.549080,-0.612763,0.830192
-2.117881,-1.706984,-0.640802
0.295659,-1.050451,0.002758
1.019720,-1.488140,1.106004
-0.790434,0.700301,1.014067
-1.031788,-0.393919,0.738255
-0.790434,-0.831607,-0.181116
0.295659,0.700301,1.381815
0.537012,0.700301,0.922129
-0.187049,-0.175075,-0.181116
-0.911111,0.262613,-0.181116
-0.911111,1.137989,0.094695
-0.790434,0.700301,-0.364990
-1.273142,0.262613,0.370507
-2.117881,0.262613,-0.824676
0.657689,0.262613,-1.284362
1.261074,0.919145,-0.548865
0.778366,0.043769,-1.100487
0.657689,1.575677,-1.192425
0.899043,0.919145,-1.468236
1.985136,0.043769,-1.100487
0.537012,0.700301,-0.089179
-0.428403,0.043769,-0.640802
0.174982,0.481457,-0.548865
1.381751,0.481457,0.002758
0.537012,0.262613,-1.100487
0.174982,0.481457,-0.364990
-0.549080,0.700301,-0.824676
0.537012,-0.612763,0.278569
0.778366,0.043769,-0.181116
0.054305,0.481457,-1.192425
0.174982,0.481457,-1.835984
1.623105,0.262613,-1.192425
1.743782,0.262613,1.014067
0.537012,0.262613,0.554381
-0.549080,-1.050451,0.738255
-1.755850,-2.363516,1.106004
-0.790434,-0.612763,2.025375
-0.549080,-1.050451,2.025375
-0.549080,-2.144672,1.014067
-2.600589,-1.706984,0.646318
0.537012,-1.050451,1.381815
1.261074,-0.393919,1.841501
0.054305,-0.831607,0.370507
-0.669757,-0.175075,-0.548865
-0.066372,0.700301,0.186632
-0.669757,0.043769,0.462444
-1.393819,-1.050451,0.462444
-1.152465,-0.393919,0.830192
-1.031788,-1.050451,-0.181116
-0.669757,0.481457,0.094695
-0.549080,-0.612763,0.830192
1.985136,0.043769,-0.364990
0.899043,0.262613,-0.824676
0.174982,-0.393919,-0.732739
-0.187049,0.481457,-1.376299
2.347167,0.700301,-0.089179
1.985136,0.700301,0.186632
-0.669757,0.919145,-1.744047
-1.273142,0.043769,-0.824676
1.381751,-0.612763,1.381815
0.174982,-1.706984,0.646318
-0.428403,-1.925828,0.830192
0.174982,-1.488140,1.106004
0.295659,-1.925828,1.197941
-0.066372,-1.488140,2.301186
-0.307726,-1.269296,1.381815
-1.514496,-0.831607,-0.456928
0.174982,-0.175075,-0.456928
1.502428,0.043769,-1.100487
0.899043,1.137989,-0.364990
-0.911111,1.794521,-2.387607
-0.790434,0.481457,-2.295670
0.054305,0.043769,-0.364990
1.381751,1.137989,-1.468236
0.537012,1.575677,-0.273053
-0.187049,0.481457,-0.640802
-0.669757,1.794521,-0.732739
0.416336,1.794521,-0.456928
-1.152465,0.481457,1.473752
-1.876527,0.262613,0.278569
0.174982,-0.831607,1.014067
1.381751,-1.706984,1.106004
-0.428403,-0.831607,1.197941
1.381751,-1.269296,1.106004
1.985136,-0.393919,1.473752
-0.307726,-0.831607,1.106004
-1.031788,0.919145,0.738255
-1.393819,-0.612763,0.554381
0.416336,0.043769,0.002758
0.416336,0.481457,-1.192425
0.295659,-0.175075,-1.100487
0.174982,0.700301,-0.732739
0.657689,1.137989,-1.100487
0.054305,2.451053,-1.008550
0.295659,1.356833,-0.089179
-0.066372,2.669897,-0.732739
-0.549080,0.262613,-1.008550
-0.549080,0.262613,-0.273053
-0.307726,0.700301,0.554381
