ax,ay,az
0.943359,-1.921003,0.000000
0.943359,-2.394804,0.000000
1.089689,-1.605136,0.000000
0.342640,-1.310324,0.000000
0.073086,-0.699646,0.000000
0.458166,-0.878640,0.000000
1.166704,-0.415367,0.000000
0.281029,-0.246905,0.000000
-0.666259,-0.299550,0.000000
-0.258077,0.068962,0.000000
0.019177,0.784930,0.000000
-1.251573,-0.046855,0.000000
-2.044831,0.690169,0.000000
-3.038331,0.216368,0.000000
-0.358198,0.816519,0.000000
1.243719,-1.552491,0.000000
1.066583,-0.310078,0.000000
2.052382,-1.152391,0.000000
0.388848,-1.615664,0.000000
0.150102,-1.994704,0.000000
-0.019334,-1.678836,0.000000
1.105094,-2.068404,0.000000
0.550583,-1.299796,0.000000
0.435060,-0.657529,0.000000
-0.858797,0.669113,0.000000
-1.544232,1.185031,0.000000
-1.128350,1.111326,0.000000
-0.273482,0.553296,0.000000
-0.412107,-0.057383,0.000000
-2.114145,0.521707,0.000000
-1.752175,-0.215317,0.000000
-0.350497,0.026850,0.000000
2.244917,-0.783879,0.000000
0.797033,-1.478786,0.000000
-0.720168,-1.320852,0.000000
-1.205365,-1.047102,0.000000
0.735420,-1.973648,0.000000
1.759723,-1.931531,0.000000
1.159000,-1.362969,0.000000
0.273329,-1.162919,0.000000
-0.396706,-0.267961,0.000000
0.257927,-0.489067,0.000000
0.527477,-0.710174,0.000000
0.512075,-0.562772,0.000000
0.049984,-0.004738,0.000000
-0.173364,-0.120555,0.000000
-0.219573,0.068962,0.000000
0.096192,-0.267961,0.000000
0.758522,-0.341662,0.000000
0.365745,-0.120555,0.000000
-0.596944,0.963924,0.000000
-1.636649,0.332190,0.000000
-0.242675,-0.131083,0.000000
0.797033,-0.594357,0.000000
0.504374,-0.057383,0.000000
-1.536532,1.479842,0.000000
-1.967816,1.027097,0.000000
-0.273482,-0.141616,0.000000
0.927954,-0.510128,0.000000
1.305333,-0.478539,0.000000
0.442761,-0.246905,0.000000
0.057681,0.374302,0.000000
0.111594,0.374302,0.000000
0.496670,-0.004738,0.000000
0.735420,-0.046855,0.000000
0.234821,0.679641,0.000000
-0.481425,1.490370,0.000000
-0.104047,1.469310,0.000000
0.165507,1.290320,0.000000
0.265624,1.027097,0.000000
-0.512228,1.037625,0.000000
-1.220770,1.427198,0.000000
-0.943513,0.553296,0.000000
-0.558440,0.658585,0.000000
-0.743274,0.753346,0.000000
-0.288884,-0.067911,0.000000
-0.281183,-0.404839,0.000000
0.111594,0.721758,0.000000
-0.134853,0.963924,0.000000
-0.881902,1.806238,0.000000
0.512075,0.690169,0.000000
1.343837,0.658585,0.000000
1.721212,-0.373250,0.000000
0.874048,-0.088971,0.000000
0.350344,0.405890,0.000000
0.504374,0.816519,0.000000
0.573685,0.595412,0.000000
0.689211,0.869163,0.000000
0.011473,1.185031,0.000000
-1.236172,0.953392,0.000000
-1.990922,1.669360,0.000000
-1.590441,1.743065,0.000000
-1.066740,1.543015,0.000000
-1.089842,1.027097,0.000000
-0.743274,0.479591,0.000000
0.065386,0.963924,0.000000
0.281029,1.353493,0.000000
0.196313,0.763874,0.000000
1.436257,-0.310078,0.000000
2.345038,-1.036574,0.000000
