ax,ay,az
-0.346736,-0.975533,-1.282224
-0.346736,-0.975533,-1.282224
-0.348384,-0.962721,-1.260341
-0.357961,-0.887762,-1.131916
-0.367564,-0.812733,-1.003535
-0.377167,-0.737703,-0.875110
-0.386770,-0.662673,-0.746685
-0.403685,-0.591324,-0.640497
-0.510297,-0.564922,-0.807074
-0.616935,-0.538520,-0.973695
-0.723547,-0.512118,-1.140271
-0.830185,-0.485716,-1.306892
-0.936797,-0.459314,-1.473469
-0.925031,-0.366306,-1.350128
-0.910897,-0.271952,-1.220995
-0.896763,-0.177599,-1.091907
-0.882628,-0.083245,-0.962775
-0.868494,0.011108,-0.833643
-0.701303,-0.036033,-0.574229
-0.513052,-0.102640,-0.296911
-0.324801,-0.169247,-0.019592
-0.136550,-0.235853,0.257726
0.051701,-0.302460,0.535044
-0.076177,-0.480337,0.336947
-0.294318,-0.689924,0.003131
-0.512434,-0.899583,-0.330686
-0.730575,-1.109171,-0.664502
-0.948717,-1.318829,-0.998274
-1.031695,-1.388904,-1.105391
-1.050823,-1.393010,-1.105391
-1.069952,-1.397186,-1.105391
-1.089056,-1.401362,-1.105391
-1.108184,-1.405467,-1.105391
-1.115676,-1.356203,-1.208484
-1.114157,-1.265671,-1.391153
-1.112638,-1.175211,-1.573777
-1.111119,-1.084680,-1.756446
-1.109600,-0.994149,-1.939070
-0.859638,-0.687659,-1.837789
-0.342256,-0.148649,-1.430896
0.175125,0.390291,-1.024003
0.692506,0.929302,-0.617111
1.209887,1.468242,-0.210218
1.473392,1.696304,0.093448
1.333105,1.430019,0.232925
1.192844,1.163664,0.372446
1.052582,0.897308,0.511923
0.912321,0.630953,0.651400
0.820126,0.466170,0.724521
0.849451,0.557905,0.629871
0.878800,0.649710,0.535177
0.908125,0.741444,0.440527
0.937474,0.833250,0.345877
0.976839,0.891221,0.304808
1.058066,0.807980,0.487653
1.139319,0.724740,0.670454
1.220572,0.641499,0.853300
1.301799,0.558259,1.036145
1.384210,0.492714,1.206214
1.478258,0.603276,1.249405
1.572306,0.713910,1.292597
1.666380,0.824543,1.335744
1.760429,0.935177,1.378936
1.854477,1.045810,1.422127
1.755460,1.116310,1.410677
1.650933,1.185748,1.397680
1.546407,1.255186,1.384683
1.441880,1.324553,1.371641
1.337353,1.393991,1.358644
1.334779,1.608533,1.360059
1.346931,1.844098,1.363551
1.359108,2.079663,1.366999
1.371286,2.315228,1.370492
1.383438,2.550793,1.373984
1.153762,2.215354,1.173632
0.861834,1.732969,0.920850
0.569880,1.250514,0.668023
0.277952,0.768129,0.415196
-0.013976,0.285745,0.162413
-0.173392,-0.075105,0.307062
-0.273052,-0.381029,0.631020
-0.372687,-0.686952,0.954979
-0.472322,-0.992875,1.278937
-0.571958,-1.298798,1.602895
-0.660290,-1.319254,1.538129
-0.741002,-1.148597,1.213243
-0.821740,-0.978010,0.888357
-0.902478,-0.807353,0.563426
-0.983190,-0.636767,0.238540
-1.048944,-0.558410,0.080142
-1.099482,-0.573699,0.090575
-1.150021,-0.588988,0.100964
-1.200559,-0.604277,0.111397
-1.251098,-0.619566,0.121786
-1.246051,-0.602508,0.040001
-1.158465,-0.537458,-0.178698
-1.070853,-0.472409,-0.397396
-0.983267,-0.407360,-0.616094
-0.895681,-0.342310,-0.834792
-0.811288,-0.291984,-0.957868
