ax,ay,az
0.987316,-0.419422,0.640991
1.003140,-0.693130,0.982504
1.105996,-0.499382,1.261924
1.101475,0.330974,1.116005
0.912717,0.490894,0.929724
0.695702,-0.188767,0.985608
0.671966,-0.019621,0.973190
0.675357,-0.090355,1.261924
0.518248,0.054188,1.084958
0.370180,0.318672,0.830375
0.295581,0.377105,0.640991
0.261673,0.066490,0.470234
0.289930,-0.047299,0.513698
0.298972,0.011133,0.488862
0.303493,-0.139561,0.411245
0.369050,-0.370215,0.305686
0.428955,-0.302557,0.417454
0.434606,-0.397894,-0.237631
0.760129,-0.302557,0.867631
1.054003,0.106470,1.566182
1.277799,-0.062676,2.224372
1.291363,0.672341,2.600037
1.306057,0.955277,1.612752
1.298145,0.417085,1.035284
1.298145,0.509346,0.519908
1.292493,0.896844,-0.029619
1.290233,0.555477,-0.498424
1.313969,0.447839,-1.200079
1.315099,0.798432,-1.780652
1.300405,0.761527,-1.616105
1.150077,0.214109,-0.513947
0.329490,-0.560890,-0.864775
-0.387111,-0.022696,-2.308447
0.128299,1.625712,-0.563621
0.799689,1.192082,1.202936
0.165598,0.964503,0.051103
-0.287647,0.884543,-0.777844
-0.769148,0.084942,-1.094521
-0.354333,-0.576267,0.271534
-0.041244,-1.532712,1.134633
-0.612039,-1.794120,0.367779
-1.086758,-1.126760,-1.047950
-1.079977,-0.336386,-1.457767
-0.926258,0.189506,-0.532575
-0.927388,-0.400969,0.414350
-1.079977,-1.157514,1.013551
-1.291340,-1.311284,1.001132
-1.763799,0.801507,-0.824414
-1.525309,0.518573,-0.594669
-1.119537,0.681567,0.206336
-1.285689,0.044962,0.063522
-1.345594,-0.311783,-0.197271
-1.360287,-0.342537,-0.613297
-1.407760,-0.560890,-0.945497
-1.255171,-0.813071,-0.858566
-1.029114,-1.052951,-0.436330
-1.133100,-1.142137,-0.712646
-1.138751,-0.893031,-0.619506
-1.163618,-0.659301,-0.898926
-1.100322,-0.591644,-0.572936
-1.277777,-0.557814,-0.700228
-1.273256,-0.474779,-0.631924
-1.329770,-0.705432,-0.843042
-1.374981,-0.573191,-0.889612
-1.376112,-0.770015,-0.942392
-1.316206,-0.674678,-0.467377
-1.359157,-0.428648,-0.377342
-1.457492,0.152601,-0.442540
-1.319597,0.475517,-0.305934
-1.127449,0.229486,-0.448749
-0.948864,0.598533,-0.377342
-1.304904,1.410435,-1.296324
-0.874265,-0.053450,-0.579145
0.150905,-1.259002,1.057016
0.963580,-1.523486,2.168488
0.488860,-0.573191,-0.125864
0.779343,-0.948388,-0.187957
1.169292,-3.098085,0.653409
1.286842,-1.434299,0.805538
1.315099,0.912221,1.019760
1.291363,0.767678,1.417158
1.308317,-0.130335,1.389215
1.299275,0.057264,1.100481
1.302665,1.954779,0.445396
1.328662,4.258244,0.507489
1.301535,3.397135,1.603438
1.283451,2.019361,1.398529
1.040439,-0.034998,0.423663
0.347574,-1.219022,-0.694018
-0.071762,-1.295907,-0.905135
-0.185921,-1.234399,-0.874088
-0.270692,-0.803844,-1.010695
-0.399545,0.041887,-1.318057
-0.270692,0.752301,-1.209393
-0.278604,0.724622,-1.200079
-0.288777,0.810733,-1.156614
-0.292167,0.770753,-1.147300
-0.283125,0.712321,-1.206288
-0.305731,0.736924,-1.215602
-0.294428,0.758452,-1.106939
