ax,ay,az
0.893618,0.225718,0.153110
0.968068,-0.436767,0.153110
1.254699,-0.436767,0.153110
1.351483,-0.071724,0.153110
2.066199,0.029677,0.153110
2.367720,-0.740969,0.153110
2.598514,-0.119044,0.153110
1.835406,-0.125805,0.153110
1.444545,0.212198,0.153110
1.437100,0.313599,0.153110
1.064852,-0.335366,0.153110
0.696327,-0.991091,0.153110
0.469256,-1.119532,0.153110
0.324079,-0.646328,0.153110
0.398529,-0.125805,0.153110
0.026281,0.273038,0.153110
-0.152398,1.131565,0.153110
-0.245460,1.510128,0.153110
-0.293853,0.110797,0.153110
-0.792665,0.631321,0.153110
-1.146300,1.794050,0.153110
-0.818722,1.354647,0.153110
-0.569316,-0.558448,0.153110
-0.707048,0.273038,0.153110
-0.643766,1.151845,0.153110
-0.740550,1.699409,0.153110
-1.142578,0.509640,0.153110
-1.187248,0.104037,0.153110
-1.205860,1.023404,0.153110
-0.900617,1.638569,0.153110
-1.261697,0.347399,0.153110
-0.398082,-0.146085,0.153110
-0.450197,1.185645,0.153110
-0.740550,1.760250,0.153110
-0.375747,-0.389447,0.153110
-0.025834,-0.565208,0.153110
0.164012,0.698922,0.153110
-0.089116,1.570968,0.153110
-0.331077,1.097765,0.153110
-1.105353,-0.916730,0.071233
-0.167288,-0.457047,0.153110
-0.803832,0.949044,0.153110
-1.150023,1.726449,0.153110
-1.842404,1.584488,-1.156922
-2.006193,1.205925,0.153110
-2.322604,1.253246,-3.531356
-2.169982,0.780042,0.153110
-1.887074,-0.261006,0.153110
-1.652558,-0.071724,-0.665660
-2.255599,1.341126,-9.139932
-1.633945,-0.078484,0.030294
-0.710770,-2.248461,0.153110
-0.517201,-0.531408,0.153110
-0.372025,1.645329,0.153110
-0.867114,-0.119044,0.153110
0.495313,-2.451262,0.153110
-0.398082,-0.261006,0.153110
-0.565594,0.428520,0.153110
0.044893,-0.544928,0.153110
0.309189,-1.917218,0.153110
-0.003499,0.631321,0.153110
-0.565594,1.368167,0.153110
-0.141231,-1.660336,0.153110
0.595820,-2.038899,0.153110
0.822891,0.293319,0.153110
-0.975066,0.665121,0.153110
0.551150,-2.011859,0.153110
0.740997,-1.910458,0.153110
1.035073,-0.659849,0.153110
-0.252905,-0.909970,0.153110
1.366373,-2.755464,0.153110
0.882451,-1.011371,0.153110
1.016460,0.475840,0.153110
0.394806,0.901723,0.153110
0.216127,0.692162,0.153110
1.332871,-0.605768,0.153110
1.090910,-0.146085,0.153110
1.116967,0.273038,0.153110
0.942011,-0.423247,0.153110
0.625600,-0.267766,0.153110
0.979235,0.509640,0.153110
0.718662,0.563721,0.153110
1.180249,-0.254246,0.153110
0.070950,-0.551688,0.153110
0.495313,-0.964051,0.153110
0.305467,-0.173125,0.153110
0.480423,-0.740969,0.153110
0.740997,-0.761249,0.153110
-0.249183,-0.970811,0.153110
0.826614,-1.349374,0.153110
0.186347,0.036437,0.153110
0.085840,-0.315086,0.153110
0.111898,-0.274526,0.153110
0.249629,-0.348886,0.153110
-0.573038,1.023404,0.153110
-0.226848,0.408239,0.153110
0.175180,-0.450287,0.153110
-0.137508,-0.004124,0.153110
0.059783,-0.362406,0.153110
0.164012,-0.815330,0.153110
