ax,ay,az
-0.069069,-0.031048,0.211132
-0.062266,-0.070157,0.247509
-0.047932,-0.070888,0.290304
-0.030743,-0.019143,0.333141
-0.021357,0.021533,0.365601
-0.014518,-0.046504,0.368643
-0.028779,-0.068643,0.280762
-0.048169,-0.013086,0.202381
-0.036618,-0.050785,0.244301
-0.006096,-0.115272,0.321307
0.002089,-0.079138,0.307847
-0.007060,-0.047548,0.241426
0.022479,-0.104411,0.136460
0.159665,-0.172186,0.054287
0.445513,-0.751570,0.268928
0.865782,-1.677717,0.255760
1.251654,-1.270906,0.005367
1.690276,0.975354,0.984605
2.144705,1.354752,2.508175
2.347464,-0.908164,2.724858
2.177774,-2.109331,1.957885
1.782515,-0.988785,1.444014
1.395624,0.835417,1.181453
1.119726,1.904425,0.848845
0.892975,2.086292,0.112625
0.746113,0.336915,-0.912159
0.404405,-0.459059,-1.560873
-0.105320,1.169283,-1.687258
-0.543178,1.937321,-1.153718
-0.813784,0.356026,-0.362327
-1.050921,-1.336332,0.056329
-1.345845,-1.518146,-0.096182
-1.551278,-0.916832,-0.466168
-1.668746,-0.299749,-0.843654
-1.716639,0.216924,-1.096881
-1.665781,0.085445,-1.052794
-1.606774,-0.431959,-0.903825
-1.592586,-0.660088,-1.114299
-1.601772,-0.298391,-1.542122
-1.612140,0.248096,-1.828185
-1.623618,0.165648,-1.970237
-1.537527,-0.653875,-1.802808
-1.474682,-0.998393,-1.343941
-1.507750,-0.383346,-0.783358
-1.557117,0.450745,-0.292364
-1.540291,0.454034,-0.344451
-1.425661,0.183192,-0.869573
-1.306447,0.647702,-0.983373
-1.262919,0.471318,-0.581343
-1.019689,-0.994686,-0.673267
-0.448466,-3.255932,-1.366859
-0.030670,-3.838709,-2.098163
0.070973,-2.311770,-2.584824
0.279970,-1.368967,-2.111789
0.837679,-1.884438,-0.781941
1.325067,-1.972578,0.125209
1.555092,-0.905136,0.972021
1.769037,1.010287,1.878588
1.935398,2.219807,2.179026
1.941728,1.691595,2.015889
1.806944,0.724511,1.739536
1.584595,0.600081,1.609818
1.306860,1.290318,1.547063
1.041274,1.632696,1.427388
0.807848,1.185209,1.093613
0.582644,0.398999,0.593576
0.372391,-0.233696,0.142127
0.196535,-0.478378,-0.107892
0.043270,-0.247116,-0.112684
-0.062138,0.264335,-0.012260
-0.138753,0.573974,0.083039
-0.171294,0.273839,0.059287
-0.207564,-0.344289,-0.174980
-0.227754,-0.643118,-0.425498
-0.278466,-0.274947,-0.626221
-0.294182,0.176927,-0.546507
-0.252292,0.330075,-0.341284
-0.232410,0.485520,-0.091974
-0.204708,0.528598,0.034452
-0.154468,0.335035,0.053662
-0.064521,0.125338,0.166962
-0.018138,0.191808,0.280929
-0.012736,0.378322,0.283929
-0.014464,0.506459,0.300138
0.003708,0.536013,0.373685
0.051928,0.315559,0.484152
0.083323,0.107010,0.426523
0.057603,0.222406,0.282929
0.013548,0.563792,0.256093
-0.019156,0.764560,0.244551
-0.026578,0.692190,0.195797
-0.009498,0.506511,0.205923
-0.031453,0.444061,0.205423
-0.062466,0.336080,0.167920
-0.091696,0.330858,0.049120
-0.123510,0.360046,-0.016468
-0.112269,0.356496,0.091665
-0.097062,0.299946,0.110208
-0.113706,0.304959,0.008242
-0.112687,0.340570,0.022076
