ax,ay,az
0.745681,0.278365,-0.346530
0.351447,0.259695,0.136020
-0.045118,0.232832,0.578489
-0.042872,0.246398,0.575595
-0.035372,0.271246,0.517573
-0.032364,0.282663,0.441176
-0.030415,0.290319,0.369119
-0.017872,0.325375,0.358556
-0.015796,0.322152,0.347849
-0.016474,0.303616,0.367961
-0.024652,0.262247,0.407173
-0.025330,0.248010,0.397334
-0.028847,0.219938,0.373460
-0.030584,0.210133,0.390099
-0.034143,0.219132,0.389810
-0.028338,0.262516,0.366225
-0.021177,0.289244,0.411514
-0.025584,0.283737,0.469535
-0.027703,0.284140,0.498763
-0.025457,0.271515,0.506866
-0.026940,0.242637,0.529149
-0.035245,0.208386,0.518297
-0.038508,0.200059,0.460275
-0.033126,0.198044,0.395019
-0.033932,0.188105,0.361595
-0.035118,0.185150,0.351901
-0.033762,0.195358,0.331354
-0.026474,0.224370,0.330920
-0.027830,0.239548,0.318477
-0.027999,0.272052,0.314570
-0.021432,0.306840,0.312110
-0.017194,0.326181,0.332367
-0.020881,0.328464,0.343942
-0.019143,0.333166,0.330920
-0.014440,0.329405,0.308493
-0.016728,0.327659,0.310663
-0.017194,0.336255,0.325856
-0.012660,0.353581,0.380550
-0.012237,0.350492,0.471416
-0.015966,0.341896,0.571254
-0.019906,0.321883,0.628263
-0.016305,0.305362,0.653150
-0.014567,0.284409,0.659951
-0.018338,0.243443,0.663713
-0.015160,0.230683,0.701911
-0.014271,0.199119,0.723615
-0.014737,0.196029,0.735914
-0.016601,0.193209,0.721879
-0.017999,0.232563,0.712040
-0.055457,0.262113,0.710882
-0.140075,0.470839,0.871780
-0.327700,0.697832,0.976103
-0.658418,0.844773,0.798566
-1.114728,0.675939,0.686863
-1.539386,-0.300535,1.014013
-1.912688,-1.619379,1.574696
-2.186668,-2.816398,2.074463
-2.213575,-3.658691,2.275007
-1.980653,-4.130004,1.765690
-1.577606,-3.539822,0.485018
-1.001636,-2.434942,-1.253895
-0.292997,-1.235908,-2.709356
0.391107,-0.319742,-3.431226
1.008221,0.467481,-3.328929
1.480251,0.902529,-2.627026
1.785884,1.011727,-1.624887
1.976942,0.873248,-0.811571
2.104780,0.762975,-0.230342
2.187237,0.882516,0.256404
2.202068,1.165922,0.683970
2.173975,1.290298,0.609598
2.119568,1.357993,0.515258
2.038086,1.369007,0.633761
1.929358,1.157997,0.433507
1.856223,0.845982,-0.233380
1.735842,0.637927,-0.503810
1.503895,0.354790,-0.420033
1.276566,0.109396,-0.431464
1.011018,-0.074885,-0.298781
0.674834,-0.276895,-0.462573
0.416234,-0.002489,-0.143381
0.228694,0.299318,-0.552137
0.012933,0.524028,-1.107756
-0.250709,0.612004,-1.409006
-0.551300,0.637390,-1.180392
-0.892060,0.152780,-1.622716
-1.162524,-0.303356,-1.536624
-1.386378,-0.722957,-1.315245
-1.513369,-1.082520,-1.147836
-1.553835,-1.565518,-0.904174
-1.487013,-1.891368,-0.467492
-1.389471,-2.077529,-0.253926
-1.257269,-2.051740,-0.191564
-1.424853,-1.308304,-0.175793
-1.179346,-0.476354,-0.335388
-0.898967,0.021285,-0.838050
-0.714053,0.211476,-1.247674
-0.520877,0.377221,-1.415372
0.326574,0.031762,-1.668150
0.788986,-0.176830,-1.841781
