ax,ay,az
-0.648902,0.850553,-1.453863
-0.695000,0.898382,-1.604867
-0.971586,0.914325,-1.650168
-1.125245,0.866496,-1.514264
-1.155977,0.786781,-1.574666
-1.186709,0.898382,-1.619967
-1.309636,0.930267,-1.635067
-1.294270,0.914325,-1.574666
-1.140611,0.946210,-1.378361
-0.986952,1.009982,-1.514264
-1.063781,1.105639,-1.378361
-1.033050,1.105639,-1.272659
-0.971586,1.041868,-1.121655
-0.971586,0.994039,-1.136755
-0.971586,1.009982,-1.272659
-1.232806,0.994039,-1.106555
-1.586222,0.994039,-0.970651
-1.862808,1.041868,-0.804547
-1.632320,0.866496,-0.713945
-1.693783,1.089696,-1.031053
-1.647686,1.201296,-0.849848
-1.386465,1.265068,-0.774347
-1.478661,1.296954,-0.789447
-1.248172,1.392611,-0.442139
-1.079147,1.265068,-0.562942
-0.618170,0.914325,-0.819648
-0.741097,1.137525,-0.970651
-1.002318,0.850553,-0.910250
-0.556707,0.595467,-0.819648
-0.341584,-0.010363,-0.895150
-0.695000,0.180952,-0.532741
-0.848659,0.420095,-0.427038
-0.234023,0.037466,-0.200533
-0.141827,0.053409,0.025973
0.104027,-0.297335,0.131675
0.104027,-0.855336,-0.094830
0.165491,-0.648078,-0.079730
-0.141827,-0.392992,0.418582
-0.218657,-0.504592,0.871593
0.273052,-0.616193,0.267578
0.134759,0.372266,0.418582
-0.018900,1.360725,0.675288
0.042564,1.504211,0.796091
0.334516,1.089696,0.871593
0.426711,1.281011,0.645088
0.242320,1.312897,0.675288
0.027198,1.201296,0.871593
-0.018900,-0.106020,0.871593
-0.326218,-0.695907,0.871593
-0.157193,-0.472707,0.871593
0.211588,-0.010363,0.871593
0.334516,-0.377049,0.871593
0.134759,-0.632135,0.871593
0.795493,-0.664021,0.871593
0.565004,-0.536478,0.871593
0.795493,-0.265449,0.780991
0.349882,0.276609,0.871593
-0.326218,0.659238,0.871593
-0.049632,0.021523,0.871593
0.488175,-1.078536,0.871593
0.780127,-1.190136,0.871593
0.472809,-0.584307,0.871593
0.595736,0.196895,0.871593
-0.141827,0.005580,0.871593
0.734029,0.180952,0.871593
0.365247,0.180952,0.871593
1.179640,-0.058192,0.871593
1.917204,-0.855336,0.871593
2.670133,-1.700309,0.871593
2.593303,-2.003224,0.629987
2.762328,-1.987281,0.871593
1.917204,-1.461166,0.871593
1.225738,-0.935050,0.871593
0.872322,-0.504592,0.871593
1.379397,-1.285794,0.871593
1.010615,-0.504592,0.871593
1.517690,-2.959797,0.871593
0.979884,-1.987281,0.871593
0.242320,-1.859738,0.871593
0.641834,-1.620594,0.871593
0.780127,-1.078536,0.871593
0.334516,-0.552421,0.871593
0.027198,-0.297335,0.871593
0.119393,-1.572766,0.871593
0.196223,-1.333622,0.871593
0.903054,-1.014765,0.871593
1.102811,-0.504592,0.871593
1.271836,-0.727793,0.871593
1.133543,-1.732195,0.871593
0.826225,-1.174194,0.871593
0.319150,-0.679964,0.871593
0.303784,-0.504592,0.871593
1.379397,-0.329221,0.796091
1.072079,-0.504592,-1.151856
0.365247,-0.568364,-2.254182
0.211588,-0.377049,-1.529365
0.134759,0.515752,-1.061254
-0.449145,0.547638,-1.363261
-0.925488,1.025925,-1.604867
-1.540124,1.009982,-1.891773
