ax,ay,az
0.050419,0.317502,0.000000
0.069182,0.318803,0.000000
0.061676,0.326613,0.000000
0.057388,0.325311,0.000000
0.020934,0.381275,0.000000
-0.001045,0.428129,0.000000
0.019326,0.335723,0.000000
0.094914,0.183447,0.000000
0.062212,0.270648,0.000000
0.026831,0.369562,0.000000
0.115821,0.265442,0.000000
0.118501,0.295376,0.000000
0.102419,0.322708,0.000000
0.099738,0.320105,0.000000
0.161924,0.448954,0.000000
0.158171,0.666305,0.000000
0.350625,0.603833,0.000000
0.539862,0.347436,0.000000
0.841677,0.068915,0.000000
1.244275,-0.339758,0.000000
1.391162,-0.425657,0.000000
1.520895,-0.613073,0.000000
1.707451,-0.869470,0.000000
1.705843,-0.770555,0.000000
1.406173,-0.480320,0.000000
1.356853,-0.561013,0.000000
1.510173,-0.898103,0.000000
1.422791,-0.672942,0.000000
0.857223,0.282361,0.000000
0.547903,0.234205,0.000000
0.622955,-0.873374,0.000000
0.709801,-1.728462,0.000000
0.360275,-1.248207,0.000000
-0.307149,-0.067743,0.000000
-0.609500,0.163924,0.000000
-0.458324,-0.596154,0.000000
-0.500675,-0.719796,0.000000
-1.087686,-0.283793,0.000000
-1.464552,-0.195290,0.000000
-1.504758,-0.425657,0.000000
-1.296758,-0.754937,0.000000
-1.206160,-0.701576,0.000000
-1.644140,0.048091,0.000000
-2.091233,0.791249,0.000000
-1.857501,1.121831,0.000000
-1.723480,1.353499,0.000000
-1.926655,2.022471,0.000000
-2.019934,2.333531,0.000000
-2.071934,2.582118,0.000000
-1.996346,2.105768,0.000000
-1.873047,1.388639,0.000000
-1.594820,1.518789,0.000000
-1.338572,1.782995,0.000000
-1.918078,3.340895,0.000000
-2.616594,2.842419,0.000000
-1.774408,-0.104185,0.000000
0.251986,-2.346676,0.000000
-0.093788,-1.197448,0.000000
-0.472798,-0.393119,0.000000
0.440151,-1.819567,0.000000
0.646007,-1.373152,0.000000
-0.336633,1.583865,0.000000
-0.561788,0.957841,0.000000
0.783244,-2.141039,0.000000
1.446915,-2.780077,0.000000
0.945677,-1.088122,0.000000
0.454089,-0.200497,0.000000
1.162255,-1.153197,0.000000
1.369719,-1.023047,0.000000
1.125265,-0.339758,0.000000
0.993925,-0.404833,0.000000
1.066832,-0.597455,0.000000
0.857223,0.062407,0.000000
0.874378,0.044186,0.000000
0.928523,-0.425657,0.000000
0.763945,-0.419149,0.000000
0.499120,-0.113296,0.000000
0.253058,0.170432,0.000000
0.424605,-0.261668,0.000000
0.563986,-0.714591,0.000000
0.464811,-0.662531,0.000000
0.298625,-0.467305,0.000000
0.112604,-0.180974,0.000000
0.075078,-0.180974,0.000000
-0.023561,-0.020889,0.000000
-0.254077,0.461969,0.000000
-0.289458,0.415114,0.000000
-0.249252,0.295376,0.000000
-0.041252,-0.154944,0.000000
0.188192,-0.467305,0.000000
0.061676,-0.143230,0.000000
0.075078,-0.187482,0.000000
0.000027,0.024664,0.000000
0.045594,-0.059934,0.000000
0.142625,-0.117200,0.000000
0.209099,-0.131517,0.000000
0.075614,0.133990,0.000000
0.052027,0.178241,0.000000
0.078295,0.096246,0.000000
0.160316,-0.036507,0.000000
